Cause Of Conflict (Long),Comment,Dates,End Year,Link,Notes On Targeted Peoples Figures,NULL Highlight,Parameter - Size Sort by,Parameter - Sort by in dashboard,Selected Conflict,Senseless / Conflict Deaths,Size Of Conflict,Source,Start Year,Summary,Tooltip - year(s) plural/singular,Type Of Conflict,Type Of Conflict2,Wikipedia Link,YEARS OF CONFLICT,Deaths,Deaths As % Of Targeted Peoples,Duration Of Conflict,How Many Years?,Months (For Wars <3 Years),No. Targeted Peoples,Size Of Conflict As Integer
"War between South Korea, supported by the UN, and North Korea, once supported by the People's Republic of China and the Soviet Union. Following the surrender of the Empire of Japan in September 1945, American administrators divided the peninsula along the 38th parallel, with U.S. military forces occupying the southern half and Soviet military forces occupying the northern half.",Data from 'Defense Manpower Data Center',1950-1953,1953,http://siadapp.dmdc.osd.mil/personnel/CASUALTY/korea.pdf,"Combined population of North & South Korea, of which:
North Korea - 9,471,140
South Korea - 20,845,771	",,,,False,KOREAN WAR,GLOBAL,Defense Manpower Data Center,1950,"War between South & North Korea, also a proxy war between China and the United States. Over a million died.",years,WAR,,http://en.wikipedia.org/wiki/Korean_War,1951,1177000,3.9%,3,3,36,30316911,8
"War between South Korea, supported by the UN, and North Korea, once supported by the People's Republic of China and the Soviet Union. Following the surrender of the Empire of Japan in September 1945, American administrators divided the peninsula along the 38th parallel, with U.S. military forces occupying the southern half and Soviet military forces occupying the northern half.",Data from 'Defense Manpower Data Center',1950-1953,1953,http://siadapp.dmdc.osd.mil/personnel/CASUALTY/korea.pdf,"Combined population of North & South Korea, of which:
North Korea - 9,471,140
South Korea - 20,845,771	",,,,False,KOREAN WAR,GLOBAL,Defense Manpower Data Center,1950,"War between South & North Korea, also a proxy war between China and the United States. Over a million died.",years,WAR,,http://en.wikipedia.org/wiki/Korean_War,1952,1177000,3.9%,3,3,36,30316911,8
"War between South Korea, supported by the UN, and North Korea, once supported by the People's Republic of China and the Soviet Union. Following the surrender of the Empire of Japan in September 1945, American administrators divided the peninsula along the 38th parallel, with U.S. military forces occupying the southern half and Soviet military forces occupying the northern half.",Data from 'Defense Manpower Data Center',1950-1953,1953,http://siadapp.dmdc.osd.mil/personnel/CASUALTY/korea.pdf,"Combined population of North & South Korea, of which:
North Korea - 9,471,140
South Korea - 20,845,771	",,,,False,KOREAN WAR,GLOBAL,Defense Manpower Data Center,1950,"War between South & North Korea, also a proxy war between China and the United States. Over a million died.",years,WAR,,http://en.wikipedia.org/wiki/Korean_War,1953,1177000,3.9%,3,3,36,30316911,8
"Conflict was triggered by an ambush carried out by Phalangist gunmen. They attacked a bus, killing 27 of its primarily Palestinian passengers. Syrian troops were called in. Christian militias killed thousands of Palestinians in Beirut. Israel launched an invasion in retaliation.","Number is an estimate, total deaths unknown.",1975-1990,1990,http://articles.latimes.com/1991-03-08/news/mn-2592_1_civil-war,Population of Lebanon 1975.,,,,False,LEBANESE CIVIL WAR,GLOBAL,"LA Times, BBC",1975,Palestinians used Lebanon as a base for attacks on Israel following the Arab-Israeli war.,years,CIVIL WAR,,,1975,150000,5.8%,15,15,180,2575700,8
"Conflict was triggered by an ambush carried out by Phalangist gunmen. They attacked a bus, killing 27 of its primarily Palestinian passengers. Syrian troops were called in. Christian militias killed thousands of Palestinians in Beirut. Israel launched an invasion in retaliation.","Number is an estimate, total deaths unknown.",1975-1990,1990,http://articles.latimes.com/1991-03-08/news/mn-2592_1_civil-war,Population of Lebanon 1975.,,,,False,LEBANESE CIVIL WAR,GLOBAL,"LA Times, BBC",1975,Palestinians used Lebanon as a base for attacks on Israel following the Arab-Israeli war.,years,CIVIL WAR,,,1976,150000,5.8%,15,15,180,2575700,8
"Conflict was triggered by an ambush carried out by Phalangist gunmen. They attacked a bus, killing 27 of its primarily Palestinian passengers. Syrian troops were called in. Christian militias killed thousands of Palestinians in Beirut. Israel launched an invasion in retaliation.","Number is an estimate, total deaths unknown.",1975-1990,1990,http://articles.latimes.com/1991-03-08/news/mn-2592_1_civil-war,Population of Lebanon 1975.,,,,False,LEBANESE CIVIL WAR,GLOBAL,"LA Times, BBC",1975,Palestinians used Lebanon as a base for attacks on Israel following the Arab-Israeli war.,years,CIVIL WAR,,,1977,150000,5.8%,15,15,180,2575700,8
"Conflict was triggered by an ambush carried out by Phalangist gunmen. They attacked a bus, killing 27 of its primarily Palestinian passengers. Syrian troops were called in. Christian militias killed thousands of Palestinians in Beirut. Israel launched an invasion in retaliation.","Number is an estimate, total deaths unknown.",1975-1990,1990,http://articles.latimes.com/1991-03-08/news/mn-2592_1_civil-war,Population of Lebanon 1975.,,,,False,LEBANESE CIVIL WAR,GLOBAL,"LA Times, BBC",1975,Palestinians used Lebanon as a base for attacks on Israel following the Arab-Israeli war.,years,CIVIL WAR,,,1978,150000,5.8%,15,15,180,2575700,8
"Conflict was triggered by an ambush carried out by Phalangist gunmen. They attacked a bus, killing 27 of its primarily Palestinian passengers. Syrian troops were called in. Christian militias killed thousands of Palestinians in Beirut. Israel launched an invasion in retaliation.","Number is an estimate, total deaths unknown.",1975-1990,1990,http://articles.latimes.com/1991-03-08/news/mn-2592_1_civil-war,Population of Lebanon 1975.,,,,False,LEBANESE CIVIL WAR,GLOBAL,"LA Times, BBC",1975,Palestinians used Lebanon as a base for attacks on Israel following the Arab-Israeli war.,years,CIVIL WAR,,,1979,150000,5.8%,15,15,180,2575700,8
"Conflict was triggered by an ambush carried out by Phalangist gunmen. They attacked a bus, killing 27 of its primarily Palestinian passengers. Syrian troops were called in. Christian militias killed thousands of Palestinians in Beirut. Israel launched an invasion in retaliation.","Number is an estimate, total deaths unknown.",1975-1990,1990,http://articles.latimes.com/1991-03-08/news/mn-2592_1_civil-war,Population of Lebanon 1975.,,,,False,LEBANESE CIVIL WAR,GLOBAL,"LA Times, BBC",1975,Palestinians used Lebanon as a base for attacks on Israel following the Arab-Israeli war.,years,CIVIL WAR,,,1980,150000,5.8%,15,15,180,2575700,8
"Conflict was triggered by an ambush carried out by Phalangist gunmen. They attacked a bus, killing 27 of its primarily Palestinian passengers. Syrian troops were called in. Christian militias killed thousands of Palestinians in Beirut. Israel launched an invasion in retaliation.","Number is an estimate, total deaths unknown.",1975-1990,1990,http://articles.latimes.com/1991-03-08/news/mn-2592_1_civil-war,Population of Lebanon 1975.,,,,False,LEBANESE CIVIL WAR,GLOBAL,"LA Times, BBC",1975,Palestinians used Lebanon as a base for attacks on Israel following the Arab-Israeli war.,years,CIVIL WAR,,,1981,150000,5.8%,15,15,180,2575700,8
"Conflict was triggered by an ambush carried out by Phalangist gunmen. They attacked a bus, killing 27 of its primarily Palestinian passengers. Syrian troops were called in. Christian militias killed thousands of Palestinians in Beirut. Israel launched an invasion in retaliation.","Number is an estimate, total deaths unknown.",1975-1990,1990,http://articles.latimes.com/1991-03-08/news/mn-2592_1_civil-war,Population of Lebanon 1975.,,,,False,LEBANESE CIVIL WAR,GLOBAL,"LA Times, BBC",1975,Palestinians used Lebanon as a base for attacks on Israel following the Arab-Israeli war.,years,CIVIL WAR,,,1982,150000,5.8%,15,15,180,2575700,8
"Conflict was triggered by an ambush carried out by Phalangist gunmen. They attacked a bus, killing 27 of its primarily Palestinian passengers. Syrian troops were called in. Christian militias killed thousands of Palestinians in Beirut. Israel launched an invasion in retaliation.","Number is an estimate, total deaths unknown.",1975-1990,1990,http://articles.latimes.com/1991-03-08/news/mn-2592_1_civil-war,Population of Lebanon 1975.,,,,False,LEBANESE CIVIL WAR,GLOBAL,"LA Times, BBC",1975,Palestinians used Lebanon as a base for attacks on Israel following the Arab-Israeli war.,years,CIVIL WAR,,,1983,150000,5.8%,15,15,180,2575700,8
"Conflict was triggered by an ambush carried out by Phalangist gunmen. They attacked a bus, killing 27 of its primarily Palestinian passengers. Syrian troops were called in. Christian militias killed thousands of Palestinians in Beirut. Israel launched an invasion in retaliation.","Number is an estimate, total deaths unknown.",1975-1990,1990,http://articles.latimes.com/1991-03-08/news/mn-2592_1_civil-war,Population of Lebanon 1975.,,,,False,LEBANESE CIVIL WAR,GLOBAL,"LA Times, BBC",1975,Palestinians used Lebanon as a base for attacks on Israel following the Arab-Israeli war.,years,CIVIL WAR,,,1984,150000,5.8%,15,15,180,2575700,8
"Conflict was triggered by an ambush carried out by Phalangist gunmen. They attacked a bus, killing 27 of its primarily Palestinian passengers. Syrian troops were called in. Christian militias killed thousands of Palestinians in Beirut. Israel launched an invasion in retaliation.","Number is an estimate, total deaths unknown.",1975-1990,1990,http://articles.latimes.com/1991-03-08/news/mn-2592_1_civil-war,Population of Lebanon 1975.,,,,False,LEBANESE CIVIL WAR,GLOBAL,"LA Times, BBC",1975,Palestinians used Lebanon as a base for attacks on Israel following the Arab-Israeli war.,years,CIVIL WAR,,,1985,150000,5.8%,15,15,180,2575700,8
"Conflict was triggered by an ambush carried out by Phalangist gunmen. They attacked a bus, killing 27 of its primarily Palestinian passengers. Syrian troops were called in. Christian militias killed thousands of Palestinians in Beirut. Israel launched an invasion in retaliation.","Number is an estimate, total deaths unknown.",1975-1990,1990,http://articles.latimes.com/1991-03-08/news/mn-2592_1_civil-war,Population of Lebanon 1975.,,,,False,LEBANESE CIVIL WAR,GLOBAL,"LA Times, BBC",1975,Palestinians used Lebanon as a base for attacks on Israel following the Arab-Israeli war.,years,CIVIL WAR,,,1986,150000,5.8%,15,15,180,2575700,8
"Conflict was triggered by an ambush carried out by Phalangist gunmen. They attacked a bus, killing 27 of its primarily Palestinian passengers. Syrian troops were called in. Christian militias killed thousands of Palestinians in Beirut. Israel launched an invasion in retaliation.","Number is an estimate, total deaths unknown.",1975-1990,1990,http://articles.latimes.com/1991-03-08/news/mn-2592_1_civil-war,Population of Lebanon 1975.,,,,False,LEBANESE CIVIL WAR,GLOBAL,"LA Times, BBC",1975,Palestinians used Lebanon as a base for attacks on Israel following the Arab-Israeli war.,years,CIVIL WAR,,,1987,150000,5.8%,15,15,180,2575700,8
"Conflict was triggered by an ambush carried out by Phalangist gunmen. They attacked a bus, killing 27 of its primarily Palestinian passengers. Syrian troops were called in. Christian militias killed thousands of Palestinians in Beirut. Israel launched an invasion in retaliation.","Number is an estimate, total deaths unknown.",1975-1990,1990,http://articles.latimes.com/1991-03-08/news/mn-2592_1_civil-war,Population of Lebanon 1975.,,,,False,LEBANESE CIVIL WAR,GLOBAL,"LA Times, BBC",1975,Palestinians used Lebanon as a base for attacks on Israel following the Arab-Israeli war.,years,CIVIL WAR,,,1988,150000,5.8%,15,15,180,2575700,8
"Conflict was triggered by an ambush carried out by Phalangist gunmen. They attacked a bus, killing 27 of its primarily Palestinian passengers. Syrian troops were called in. Christian militias killed thousands of Palestinians in Beirut. Israel launched an invasion in retaliation.","Number is an estimate, total deaths unknown.",1975-1990,1990,http://articles.latimes.com/1991-03-08/news/mn-2592_1_civil-war,Population of Lebanon 1975.,,,,False,LEBANESE CIVIL WAR,GLOBAL,"LA Times, BBC",1975,Palestinians used Lebanon as a base for attacks on Israel following the Arab-Israeli war.,years,CIVIL WAR,,,1989,150000,5.8%,15,15,180,2575700,8
"Conflict was triggered by an ambush carried out by Phalangist gunmen. They attacked a bus, killing 27 of its primarily Palestinian passengers. Syrian troops were called in. Christian militias killed thousands of Palestinians in Beirut. Israel launched an invasion in retaliation.","Number is an estimate, total deaths unknown.",1975-1990,1990,http://articles.latimes.com/1991-03-08/news/mn-2592_1_civil-war,Population of Lebanon 1975.,,,,False,LEBANESE CIVIL WAR,GLOBAL,"LA Times, BBC",1975,Palestinians used Lebanon as a base for attacks on Israel following the Arab-Israeli war.,years,CIVIL WAR,,,1990,150000,5.8%,15,15,180,2575700,8
"A violent African resistance to colonial rule in the German colony of East Africa, an uprising by several African indigenous communities against the German rule in response to a German policy designed to force African peoples to grow cotton for export.",,1905-1907,1907,http://necrometrics.com/20c100k.htm#RJW,Population of German East Africa 1905.,,,,False,MAJI-MAJI REBELLION,MEDIUM REGION,Twentieth Century Atlas,1905,Violent uprising & resistance to German colonial rule in East Africa.,years,WAR,,http://en.wikipedia.org/wiki/Maji_Maji_Rebellion,1905,175000,5.0%,2,2,24,3500000,5
"A violent African resistance to colonial rule in the German colony of East Africa, an uprising by several African indigenous communities against the German rule in response to a German policy designed to force African peoples to grow cotton for export.",,1905-1907,1907,http://necrometrics.com/20c100k.htm#RJW,Population of German East Africa 1905.,,,,False,MAJI-MAJI REBELLION,MEDIUM REGION,Twentieth Century Atlas,1905,Violent uprising & resistance to German colonial rule in East Africa.,years,WAR,,http://en.wikipedia.org/wiki/Maji_Maji_Rebellion,1906,175000,5.0%,2,2,24,3500000,5
"A violent African resistance to colonial rule in the German colony of East Africa, an uprising by several African indigenous communities against the German rule in response to a German policy designed to force African peoples to grow cotton for export.",,1905-1907,1907,http://necrometrics.com/20c100k.htm#RJW,Population of German East Africa 1905.,,,,False,MAJI-MAJI REBELLION,MEDIUM REGION,Twentieth Century Atlas,1905,Violent uprising & resistance to German colonial rule in East Africa.,years,WAR,,http://en.wikipedia.org/wiki/Maji_Maji_Rebellion,1907,175000,5.0%,2,2,24,3500000,5
The Revolution changed from a revolt against the established order to a multi-sided civil war with frequently shifting power struggles.,,1910-1920,1920,http://necrometrics.com/20c1m.htm,Population of Mexico 1910.,,,,False,MEXICAN REVOLUTION,LARGE COUNTRY,necrometrics.com,1910,An anti-establishment revolt mutated into a multi-sided civil war that shaped Mexican society & culture for decades.,years,WAR,,http://en.wikipedia.org/wiki/Red_Terror_(Ethiopia),1910,1000000,6.7%,10,10,120,15000000,4
The Revolution changed from a revolt against the established order to a multi-sided civil war with frequently shifting power struggles.,,1910-1920,1920,http://necrometrics.com/20c1m.htm,Population of Mexico 1910.,,,,False,MEXICAN REVOLUTION,LARGE COUNTRY,necrometrics.com,1910,An anti-establishment revolt mutated into a multi-sided civil war that shaped Mexican society & culture for decades.,years,WAR,,http://en.wikipedia.org/wiki/Red_Terror_(Ethiopia),1911,1000000,6.7%,10,10,120,15000000,4
The Revolution changed from a revolt against the established order to a multi-sided civil war with frequently shifting power struggles.,,1910-1920,1920,http://necrometrics.com/20c1m.htm,Population of Mexico 1910.,,,,False,MEXICAN REVOLUTION,LARGE COUNTRY,necrometrics.com,1910,An anti-establishment revolt mutated into a multi-sided civil war that shaped Mexican society & culture for decades.,years,WAR,,http://en.wikipedia.org/wiki/Red_Terror_(Ethiopia),1912,1000000,6.7%,10,10,120,15000000,4
The Revolution changed from a revolt against the established order to a multi-sided civil war with frequently shifting power struggles.,,1910-1920,1920,http://necrometrics.com/20c1m.htm,Population of Mexico 1910.,,,,False,MEXICAN REVOLUTION,LARGE COUNTRY,necrometrics.com,1910,An anti-establishment revolt mutated into a multi-sided civil war that shaped Mexican society & culture for decades.,years,WAR,,http://en.wikipedia.org/wiki/Red_Terror_(Ethiopia),1913,1000000,6.7%,10,10,120,15000000,4
The Revolution changed from a revolt against the established order to a multi-sided civil war with frequently shifting power struggles.,,1910-1920,1920,http://necrometrics.com/20c1m.htm,Population of Mexico 1910.,,,,False,MEXICAN REVOLUTION,LARGE COUNTRY,necrometrics.com,1910,An anti-establishment revolt mutated into a multi-sided civil war that shaped Mexican society & culture for decades.,years,WAR,,http://en.wikipedia.org/wiki/Red_Terror_(Ethiopia),1914,1000000,6.7%,10,10,120,15000000,4
The Revolution changed from a revolt against the established order to a multi-sided civil war with frequently shifting power struggles.,,1910-1920,1920,http://necrometrics.com/20c1m.htm,Population of Mexico 1910.,,,,False,MEXICAN REVOLUTION,LARGE COUNTRY,necrometrics.com,1910,An anti-establishment revolt mutated into a multi-sided civil war that shaped Mexican society & culture for decades.,years,WAR,,http://en.wikipedia.org/wiki/Red_Terror_(Ethiopia),1915,1000000,6.7%,10,10,120,15000000,4
The Revolution changed from a revolt against the established order to a multi-sided civil war with frequently shifting power struggles.,,1910-1920,1920,http://necrometrics.com/20c1m.htm,Population of Mexico 1910.,,,,False,MEXICAN REVOLUTION,LARGE COUNTRY,necrometrics.com,1910,An anti-establishment revolt mutated into a multi-sided civil war that shaped Mexican society & culture for decades.,years,WAR,,http://en.wikipedia.org/wiki/Red_Terror_(Ethiopia),1916,1000000,6.7%,10,10,120,15000000,4
The Revolution changed from a revolt against the established order to a multi-sided civil war with frequently shifting power struggles.,,1910-1920,1920,http://necrometrics.com/20c1m.htm,Population of Mexico 1910.,,,,False,MEXICAN REVOLUTION,LARGE COUNTRY,necrometrics.com,1910,An anti-establishment revolt mutated into a multi-sided civil war that shaped Mexican society & culture for decades.,years,WAR,,http://en.wikipedia.org/wiki/Red_Terror_(Ethiopia),1917,1000000,6.7%,10,10,120,15000000,4
The Revolution changed from a revolt against the established order to a multi-sided civil war with frequently shifting power struggles.,,1910-1920,1920,http://necrometrics.com/20c1m.htm,Population of Mexico 1910.,,,,False,MEXICAN REVOLUTION,LARGE COUNTRY,necrometrics.com,1910,An anti-establishment revolt mutated into a multi-sided civil war that shaped Mexican society & culture for decades.,years,WAR,,http://en.wikipedia.org/wiki/Red_Terror_(Ethiopia),1918,1000000,6.7%,10,10,120,15000000,4
The Revolution changed from a revolt against the established order to a multi-sided civil war with frequently shifting power struggles.,,1910-1920,1920,http://necrometrics.com/20c1m.htm,Population of Mexico 1910.,,,,False,MEXICAN REVOLUTION,LARGE COUNTRY,necrometrics.com,1910,An anti-establishment revolt mutated into a multi-sided civil war that shaped Mexican society & culture for decades.,years,WAR,,http://en.wikipedia.org/wiki/Red_Terror_(Ethiopia),1919,1000000,6.7%,10,10,120,15000000,4
The Revolution changed from a revolt against the established order to a multi-sided civil war with frequently shifting power struggles.,,1910-1920,1920,http://necrometrics.com/20c1m.htm,Population of Mexico 1910.,,,,False,MEXICAN REVOLUTION,LARGE COUNTRY,necrometrics.com,1910,An anti-establishment revolt mutated into a multi-sided civil war that shaped Mexican society & culture for decades.,years,WAR,,http://en.wikipedia.org/wiki/Red_Terror_(Ethiopia),1920,1000000,6.7%,10,10,120,15000000,4
"A mass murder and war rape that occurred during the six-week period following the Japanese capture of the city of Nanking (Nanjing), the former capital of the Republic of China,.",,Dec-37,1937,https://docs.google.com/viewer?a=v&q=cache:FPckMtHNGMwJ:www.teachgenocide.com/files/LessonPlans/Overhead/Case%2520Study%2520First%2520Modern%2520Genocide%252020th%2520Century%25204th%2520Ed-%2520Overheads%2520-%2520Section%25204.pdf+genocide+20th+century&hl=en&gl=uk&pid=bl&srcid=ADGEESiEOlXYEEsUrnD9wZSNnDdD6QuOHhg4UnSJ-jD5J1T1oYQqz8VZ402ncofnDjezprcLxvMlZmSv1uXVfqnk6eLVnaDudiLy0SWuz2nyWMmj-a0X0-NSMh84Cv0mfsc7Zb6PcF_Y&sig=AHIEtbQhIQolCrcDCdRUGtZ3hrGHcm_tNA,"An official survey conducted in March 1937 had put the total civilian population of Nanking at 1,019,667. However, most of the city's population, particularly the wealthy and middle class, fled after the Japanese starting bombing it in August. Contemporary data on how many soldiers and civilians inhabited Nanking at the time of the massacre (Dec) is contradictory and often unreliable. Various recent estimates put the population of the city in December at as many as 500,000 civilians and 150,000 soldiers or as few as 200,000 civilians and 70,000 soldiers.",,,,False,NANKING MASSACRE,INTERNATIONAL,A Case Study of the First Modern Genocide of the 20th Century,1937,Invading Japanese army massacred inhabitants of the (then) Chinese capital.,years,GENOCIDE,,http://en.wikipedia.org/wiki/Nanking_Massacre,1937,300000,85.7%,0.08,0,1,350000,7
"Political conflict caused by the attempted secession of the southeastern provinces of Nigeria as the self-proclaimed Republic of Biafra. The conflict was the result of economic, ethnic, cultural and religious tensions among the various peoples of Nigeria.",,1966-1970,1970,http://necrometrics.com/20c1m.htm,Population of Nigeria 1967.,,,,False,NIGERIAN CIVIL WAR,MEDIUM COUNTRY,necrometrics.com,1967,Battle between North & South triggered by the attempted breakaway Nigerian state of Biafra.,years,CIVIL WAR,,http://en.wikipedia.org/wiki/Nigerian_Civil_War,1967,1000000,1.9%,3,3,36,52468600,3
"Political conflict caused by the attempted secession of the southeastern provinces of Nigeria as the self-proclaimed Republic of Biafra. The conflict was the result of economic, ethnic, cultural and religious tensions among the various peoples of Nigeria.",,1966-1970,1970,http://necrometrics.com/20c1m.htm,Population of Nigeria 1967.,,,,False,NIGERIAN CIVIL WAR,MEDIUM COUNTRY,necrometrics.com,1967,Battle between North & South triggered by the attempted breakaway Nigerian state of Biafra.,years,CIVIL WAR,,http://en.wikipedia.org/wiki/Nigerian_Civil_War,1968,1000000,1.9%,3,3,36,52468600,3
"Political conflict caused by the attempted secession of the southeastern provinces of Nigeria as the self-proclaimed Republic of Biafra. The conflict was the result of economic, ethnic, cultural and religious tensions among the various peoples of Nigeria.",,1966-1970,1970,http://necrometrics.com/20c1m.htm,Population of Nigeria 1967.,,,,False,NIGERIAN CIVIL WAR,MEDIUM COUNTRY,necrometrics.com,1967,Battle between North & South triggered by the attempted breakaway Nigerian state of Biafra.,years,CIVIL WAR,,http://en.wikipedia.org/wiki/Nigerian_Civil_War,1969,1000000,1.9%,3,3,36,52468600,3
"Political conflict caused by the attempted secession of the southeastern provinces of Nigeria as the self-proclaimed Republic of Biafra. The conflict was the result of economic, ethnic, cultural and religious tensions among the various peoples of Nigeria.",,1966-1970,1970,http://necrometrics.com/20c1m.htm,Population of Nigeria 1967.,,,,False,NIGERIAN CIVIL WAR,MEDIUM COUNTRY,necrometrics.com,1967,Battle between North & South triggered by the attempted breakaway Nigerian state of Biafra.,years,CIVIL WAR,,http://en.wikipedia.org/wiki/Nigerian_Civil_War,1970,1000000,1.9%,3,3,36,52468600,3
"A government-sponsored genocide in October 1937, at the direct order of Dominican President Rafael Trujillo who ordered the execution of the Haitian population living in the borderlands with Haiti.","Excerpt from bio of the then Haitian president, Duvalier.",1937,1937,http://books.google.co.uk/books?id=cU3tio6nXe4C&pg=PA127&lpg=PA127&dq=dominican+republic+genocide+haitian+deaths&source=bl&ots=or2urmTc9S&sig=GCKtKsfTQMe4bKGrZi6bCkjKPPc&hl=en&sa=X&ei=_KRDT5_KEOKu0QW9tsCPDw&ved=0CEQQ6AEwAw#v=onepage&q=death&f=false,Haitians in Dominican Republic 1935.,,,,False,PARSLEY MASSACRE,SMALL COUNTRY,"The Dictator Next Door, by Eric Paul Roorda",1937,The 'ethnic cleansing' of Haitians living in the Dominican Republic.How you pronounced the word 'parsley' determined whether you lived or died.,years,GENOCIDE,ideological,http://en.wikipedia.org/wiki/Parsley_Massacre,1937,4500,7.9%,0,0,0.013689254,56657,2
"Haile Selassie was overthrown in a military coup, and died in ‘mysterious circumstances’ in custody. He was replaced by General Teferi Benti, who was killed 3 years later to be replaced by Colonel Mengistu Haile Mariam. Mengistu ordered the death of all opponents to his government - thousands were murdered.",,1975-1978,1978,http://www.bbc.co.uk/news/world-africa-13351397,Population of Ethiopia 1975.,,,,False,RED TERROR (ETHIOPIA),MEDIUM COUNTRY,BBC,1975,Orchestration of the murder of all opponents of Colonel Mengistu's government.,years,GENOCIDE,ideological,http://en.wikipedia.org/wiki/Mengistu_Haile_Mariam,1975,1500000,4.6%,3,3,36,32568500,3
"Haile Selassie was overthrown in a military coup, and died in ‘mysterious circumstances’ in custody. He was replaced by General Teferi Benti, who was killed 3 years later to be replaced by Colonel Mengistu Haile Mariam. Mengistu ordered the death of all opponents to his government - thousands were murdered.",,1975-1978,1978,http://www.bbc.co.uk/news/world-africa-13351397,Population of Ethiopia 1975.,,,,False,RED TERROR (ETHIOPIA),MEDIUM COUNTRY,BBC,1975,Orchestration of the murder of all opponents of Colonel Mengistu's government.,years,GENOCIDE,ideological,http://en.wikipedia.org/wiki/Mengistu_Haile_Mariam,1976,1500000,4.6%,3,3,36,32568500,3
"Haile Selassie was overthrown in a military coup, and died in ‘mysterious circumstances’ in custody. He was replaced by General Teferi Benti, who was killed 3 years later to be replaced by Colonel Mengistu Haile Mariam. Mengistu ordered the death of all opponents to his government - thousands were murdered.",,1975-1978,1978,http://www.bbc.co.uk/news/world-africa-13351397,Population of Ethiopia 1975.,,,,False,RED TERROR (ETHIOPIA),MEDIUM COUNTRY,BBC,1975,Orchestration of the murder of all opponents of Colonel Mengistu's government.,years,GENOCIDE,ideological,http://en.wikipedia.org/wiki/Mengistu_Haile_Mariam,1977,1500000,4.6%,3,3,36,32568500,3
"Haile Selassie was overthrown in a military coup, and died in ‘mysterious circumstances’ in custody. He was replaced by General Teferi Benti, who was killed 3 years later to be replaced by Colonel Mengistu Haile Mariam. Mengistu ordered the death of all opponents to his government - thousands were murdered.",,1975-1978,1978,http://www.bbc.co.uk/news/world-africa-13351397,Population of Ethiopia 1975.,,,,False,RED TERROR (ETHIOPIA),MEDIUM COUNTRY,BBC,1975,Orchestration of the murder of all opponents of Colonel Mengistu's government.,years,GENOCIDE,ideological,http://en.wikipedia.org/wiki/Mengistu_Haile_Mariam,1978,1500000,4.6%,3,3,36,32568500,3
"A multi-party war in the former Russian Empire fought between the Bolshevik Red Army and the White Army, the loosely allied anti-Bolshevik forces. Many foreign armies warred against the Red Army, notably the Allied Forces and the pro-German armies.",,1917-1922,1922,http://necrometrics.com/20c5m.htm,Population of Russia 1917.,,,,False,RUSSIAN CIVIL WAR,LARGE COUNTRY,necrometrics.com,1917,"After the Russian Revolution, many factions battled each other for domination. Many civilians and 'enemies of the people' were executed.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Russian_Civil_War,1917,9000000,7.2%,5,5,60,125640021,4
"A multi-party war in the former Russian Empire fought between the Bolshevik Red Army and the White Army, the loosely allied anti-Bolshevik forces. Many foreign armies warred against the Red Army, notably the Allied Forces and the pro-German armies.",,1917-1922,1922,http://necrometrics.com/20c5m.htm,Population of Russia 1917.,,,,False,RUSSIAN CIVIL WAR,LARGE COUNTRY,necrometrics.com,1917,"After the Russian Revolution, many factions battled each other for domination. Many civilians and 'enemies of the people' were executed.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Russian_Civil_War,1918,9000000,7.2%,5,5,60,125640021,4
"A multi-party war in the former Russian Empire fought between the Bolshevik Red Army and the White Army, the loosely allied anti-Bolshevik forces. Many foreign armies warred against the Red Army, notably the Allied Forces and the pro-German armies.",,1917-1922,1922,http://necrometrics.com/20c5m.htm,Population of Russia 1917.,,,,False,RUSSIAN CIVIL WAR,LARGE COUNTRY,necrometrics.com,1917,"After the Russian Revolution, many factions battled each other for domination. Many civilians and 'enemies of the people' were executed.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Russian_Civil_War,1919,9000000,7.2%,5,5,60,125640021,4
"A multi-party war in the former Russian Empire fought between the Bolshevik Red Army and the White Army, the loosely allied anti-Bolshevik forces. Many foreign armies warred against the Red Army, notably the Allied Forces and the pro-German armies.",,1917-1922,1922,http://necrometrics.com/20c5m.htm,Population of Russia 1917.,,,,False,RUSSIAN CIVIL WAR,LARGE COUNTRY,necrometrics.com,1917,"After the Russian Revolution, many factions battled each other for domination. Many civilians and 'enemies of the people' were executed.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Russian_Civil_War,1920,9000000,7.2%,5,5,60,125640021,4
"A multi-party war in the former Russian Empire fought between the Bolshevik Red Army and the White Army, the loosely allied anti-Bolshevik forces. Many foreign armies warred against the Red Army, notably the Allied Forces and the pro-German armies.",,1917-1922,1922,http://necrometrics.com/20c5m.htm,Population of Russia 1917.,,,,False,RUSSIAN CIVIL WAR,LARGE COUNTRY,necrometrics.com,1917,"After the Russian Revolution, many factions battled each other for domination. Many civilians and 'enemies of the people' were executed.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Russian_Civil_War,1921,9000000,7.2%,5,5,60,125640021,4
