"Appendix Table 6a. Relative risks used by age and sex for each outcome for all risk factors except for ambient air pollution, alcohol, and smoking",,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk - Outcome,Category / Units,Morbidity / Mortality,Sex,Ages,,,,,,,,,,,,,,,,,,,,,,,
,,,,All-age,0-6 days,7-27 days,28-364 days,1-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85-89 years,90-94 years,95+ years
Neonatal preterm birth,"Birth prevalence - [24, 26) wks, [500, 1000) g",Mortality,Males,,"955.583
(723.748 to 1244.265)","443.357
(363.03 to 534.695)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [24, 26) wks, [500, 1000) g",Mortality,Females,,"947.143
(702.662 to 1237.093)","487.549
(387.307 to 603.498)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [26, 28) wks, [500, 1000) g",Mortality,Males,,"497.817
(377.617 to 648.547)","330.886
(261.438 to 401.709)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [26, 28) wks, [500, 1000) g",Mortality,Females,,"483.682
(354.946 to 629.517)","344.618
(274.427 to 419.864)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [30, 32) wks, [500, 1000) g",Mortality,Males,,"236.614
(163.821 to 324.502)","149.995
(117.866 to 188.368)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [30, 32) wks, [500, 1000) g",Mortality,Females,,"229.197
(157.606 to 317.194)","152.117
(120.779 to 190.583)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [28, 30) wks, [500, 1000) g",Mortality,Males,,"297.629
(214.953 to 396.586)","216.995
(173.321 to 271.466)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [28, 30) wks, [500, 1000) g",Mortality,Females,,"281.056
(198.176 to 386.635)","219.884
(174.264 to 272.704)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [26, 28) wks, [1000, 1500) g",Mortality,Males,,"267.91
(210.177 to 332.92)","164.167
(132.898 to 200.569)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [26, 28) wks, [1000, 1500) g",Mortality,Females,,"266.509
(197.461 to 346.932)","174.222
(137.431 to 217.349)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [34, 36) wks, [1000, 1500) g",Mortality,Males,,"142.056
(98.086 to 197.774)","52.86
(42.914 to 64.617)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [34, 36) wks, [1000, 1500) g",Mortality,Females,,"141.899
(95.864 to 197.656)","57.421
(46.452 to 71.339)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [28, 30) wks, [1500, 2000) g",Mortality,Males,,"127.966
(97.178 to 167.026)","50.018
(40.539 to 61.919)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [28, 30) wks, [1500, 2000) g",Mortality,Females,,"130.924
(96.513 to 172.188)","57.275
(46.36 to 70.038)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [28, 30) wks, [1000, 1500) g",Mortality,Males,,"158.563
(120.99 to 204.947)","103.32
(83.486 to 127.144)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [28, 30) wks, [1000, 1500) g",Mortality,Females,,"153.905
(112.327 to 200.786)","107.529
(86.954 to 131.78)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [32, 34) wks, [1000, 1500) g",Mortality,Males,,"117.142
(81.354 to 161.101)","53.185
(43.049 to 66.274)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [32, 34) wks, [1000, 1500) g",Mortality,Females,,"115.171
(79.363 to 159.206)","56.034
(45.982 to 68.36)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [30, 32) wks, [1000, 1500) g",Mortality,Males,,"119.308
(87.769 to 160.885)","67.163
(54.863 to 82.638)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [30, 32) wks, [1000, 1500) g",Mortality,Females,,"115.448
(84.272 to 156.425)","69.14
(55.873 to 85.012)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [37, 38) wks, [1500, 2000) g",Mortality,Males,,"62.972
(46.159 to 83.484)","24.148
(20.066 to 29.406)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [37, 38) wks, [1500, 2000) g",Mortality,Females,,"59.988
(43.974 to 79.053)","26.719
(21.746 to 32.816)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [36, 37) wks, [1500, 2000) g",Mortality,Males,,"60.218
(43.669 to 82.48)","23.031
(18.793 to 28.483)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [36, 37) wks, [1500, 2000) g",Mortality,Females,,"58.527
(42.172 to 80.557)","25.143
(20.331 to 30.566)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [30, 32) wks, [2000, 2500) g",Mortality,Males,,"67.971
(50.354 to 88.935)","18.03
(14.621 to 22.103)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [30, 32) wks, [2000, 2500) g",Mortality,Females,,"69.383
(49.108 to 94.583)","22.069
(17.836 to 27.163)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [30, 32) wks, [1500, 2000) g",Mortality,Males,,"77.369
(59.702 to 99.232)","31.079
(25.786 to 36.724)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [30, 32) wks, [1500, 2000) g",Mortality,Females,,"76.134
(56.885 to 100.996)","34.756
(28.764 to 41.849)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [34, 36) wks, [1500, 2000) g",Mortality,Males,,"55.555
(39.553 to 75.104)","21.346
(17.677 to 26.143)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [34, 36) wks, [1500, 2000) g",Mortality,Females,,"54.335
(38.617 to 75.24)","23.046
(18.743 to 28.287)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [32, 34) wks, [1500, 2000) g",Mortality,Males,,"57.155
(42.484 to 73.651)","23.114
(19.028 to 27.915)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [32, 34) wks, [1500, 2000) g",Mortality,Females,,"56.101
(39.794 to 76.295)","25.149
(20.615 to 30.388)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [32, 34) wks, [2000, 2500) g",Mortality,Males,,"37.444
(29.026 to 48.227)","12.233
(10.252 to 14.477)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [32, 34) wks, [2000, 2500) g",Mortality,Females,,"36.874
(26.658 to 49.653)","14.384
(12.095 to 17.03)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [40, 42) wks, [2000, 2500) g",Mortality,Males,,"18.092
(13.292 to 23.719)","9.23
(7.037 to 11.454)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [40, 42) wks, [2000, 2500) g",Mortality,Females,,"15.574
(11.516 to 20.778)","9.975
(7.82 to 12.46)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [38, 40) wks, [2000, 2500) g",Mortality,Males,,"13.104
(9.829 to 16.99)","8.198
(6.786 to 9.959)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [38, 40) wks, [2000, 2500) g",Mortality,Females,,"11.308
(8.389 to 14.38)","8.577
(7.04 to 10.449)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [32, 34) wks, [2500, 3000) g",Mortality,Males,,"33.063
(24.393 to 43.503)","8.441
(6.822 to 10.431)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [32, 34) wks, [2500, 3000) g",Mortality,Females,,"32.812
(23.439 to 45.567)","10.398
(8.227 to 13.042)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [34, 36) wks, [2000, 2500) g",Mortality,Males,,"21.925
(16.305 to 29.433)","9.367
(7.859 to 11.112)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [34, 36) wks, [2000, 2500) g",Mortality,Females,,"21.297
(15.657 to 28.761)","10.295
(8.548 to 12.273)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [37, 38) wks, [2000, 2500) g",Mortality,Males,,"13.0
(10.102 to 16.456)","8.096
(6.724 to 9.676)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [37, 38) wks, [2000, 2500) g",Mortality,Females,,"11.563
(8.805 to 15.11)","8.467
(6.994 to 10.342)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [36, 37) wks, [2000, 2500) g",Mortality,Males,,"14.401
(10.789 to 18.654)","8.221
(6.917 to 9.923)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [36, 37) wks, [2000, 2500) g",Mortality,Females,,"13.513
(9.817 to 17.942)","8.654
(7.215 to 10.369)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [34, 36) wks, [2500, 3000) g",Mortality,Males,,"13.419
(10.387 to 16.819)","5.562
(4.646 to 6.696)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [34, 36) wks, [2500, 3000) g",Mortality,Females,,"13.266
(9.666 to 17.689)","6.395
(5.292 to 7.606)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [34, 36) wks, [4000, 4500) g",Mortality,Males,,"23.096
(14.708 to 35.098)","2.895
(2.245 to 3.716)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [34, 36) wks, [4000, 4500) g",Mortality,Females,,"25.038
(15.763 to 37.255)","3.778
(2.855 to 4.925)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [34, 36) wks, [3000, 3500) g",Mortality,Males,,"14.006
(10.222 to 18.478)","4.322
(3.449 to 5.338)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [34, 36) wks, [3000, 3500) g",Mortality,Females,,"14.375
(10.269 to 20.114)","5.265
(4.145 to 6.564)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [36, 37) wks, [2500, 3000) g",Mortality,Males,,"4.874
(4.014 to 5.713)","3.699
(3.134 to 4.374)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [36, 37) wks, [2500, 3000) g",Mortality,Females,,"4.609
(3.731 to 5.61)","3.898
(3.235 to 4.67)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [34, 36) wks, [3500, 4000) g",Mortality,Males,,"18.024
(12.279 to 25.547)","3.657
(2.838 to 4.675)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [34, 36) wks, [3500, 4000) g",Mortality,Females,,"19.263
(12.567 to 27.924)","4.634
(3.576 to 5.989)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [37, 38) wks, [2500, 3000) g",Mortality,Males,,"3.306
(2.82 to 3.843)","3.194
(2.691 to 3.803)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [37, 38) wks, [2500, 3000) g",Mortality,Females,,"2.991
(2.496 to 3.61)","3.242
(2.745 to 3.817)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [40, 42) wks, [2500, 3000) g",Mortality,Males,,"3.771
(3.002 to 4.693)","3.175
(2.56 to 3.923)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [40, 42) wks, [2500, 3000) g",Mortality,Females,,"3.244
(2.486 to 4.159)","3.228
(2.605 to 3.985)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [38, 40) wks, [2500, 3000) g",Mortality,Males,,"2.755
(2.274 to 3.309)","2.944
(2.44 to 3.548)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [38, 40) wks, [2500, 3000) g",Mortality,Females,,"2.376
(1.91 to 2.886)","2.938
(2.434 to 3.503)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [36, 37) wks, [3000, 3500) g",Mortality,Males,,"3.774
(3.094 to 4.497)","2.466
(2.058 to 2.929)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [36, 37) wks, [3000, 3500) g",Mortality,Females,,"3.73
(2.981 to 4.646)","2.715
(2.277 to 3.218)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [36, 37) wks, [4000, 4500) g",Mortality,Males,,"6.826
(5.212 to 9.045)","1.77
(1.491 to 2.082)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [36, 37) wks, [4000, 4500) g",Mortality,Females,,"7.269
(5.144 to 9.821)","2.177
(1.786 to 2.607)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [36, 37) wks, [3500, 4000) g",Mortality,Males,,"4.544
(3.64 to 5.622)","2.057
(1.74 to 2.44)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [36, 37) wks, [3500, 4000) g",Mortality,Females,,"4.662
(3.577 to 6.014)","2.398
(1.98 to 2.864)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [37, 38) wks, [3000, 3500) g",Mortality,Males,,"2.007
(1.759 to 2.293)","1.888
(1.613 to 2.224)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [37, 38) wks, [3000, 3500) g",Mortality,Females,,"1.925
(1.582 to 2.328)","1.972
(1.669 to 2.313)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [37, 38) wks, [4000, 4500) g",Mortality,Males,,"3.28
(2.596 to 4.133)","1.335
(1.171 to 1.532)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [37, 38) wks, [4000, 4500) g",Mortality,Females,,"3.521
(2.649 to 4.5)","1.559
(1.333 to 1.835)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [37, 38) wks, [3500, 4000) g",Mortality,Males,,"2.128
(1.833 to 2.466)","1.505
(1.299 to 1.76)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [37, 38) wks, [3500, 4000) g",Mortality,Females,,"2.142
(1.694 to 2.67)","1.661
(1.411 to 1.961)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [40, 42) wks, [3000, 3500) g",Mortality,Males,,"1.436
(1.245 to 1.65)","1.47
(1.199 to 1.8)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [40, 42) wks, [3000, 3500) g",Mortality,Females,,"1.326
(1.069 to 1.614)","1.465
(1.188 to 1.775)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [38, 40) wks, [3000, 3500) g",Mortality,Males,,"1.33
(1.155 to 1.53)","1.559
(1.305 to 1.851)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [38, 40) wks, [3000, 3500) g",Mortality,Females,,"1.224
(1.0 to 1.492)","1.564
(1.304 to 1.847)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [38, 40) wks, [4000, 4500) g",Mortality,Males,,"1.787
(1.453 to 2.182)","1.175
(1.005 to 1.371)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [38, 40) wks, [4000, 4500) g",Mortality,Females,,"1.877
(1.467 to 2.388)","1.224
(1.022 to 1.465)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [38, 40) wks, [3500, 4000) g",Mortality,Males,,"1.785
(1.478 to 2.147)","1.173
(1.0 to 1.377)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [38, 40) wks, [3500, 4000) g",Mortality,Females,,"1.892
(1.481 to 2.352)","1.23
(1.03 to 1.46)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [40, 42) wks, [3500, 4000) g",Mortality,Males,,"1.0
(1.0 to 1.0)","1.003
(1.0 to 1.046)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [40, 42) wks, [3500, 4000) g",Mortality,Females,,"1.002
(1.0 to 1.013)","1.001
(1.0 to 1.006)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [40, 42) wks, [4000, 4500) g",Mortality,Males,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [40, 42) wks, [4000, 4500) g",Mortality,Females,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [28, 30) wks, [2000, 2500) g",Mortality,Males,,"117.172
(83.895 to 158.056)","27.726
(21.877 to 34.972)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [28, 30) wks, [2000, 2500) g",Mortality,Females,,"121.682
(84.349 to 171.375)","33.983
(26.101 to 43.404)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [28, 30) wks, [2500, 3000) g",Mortality,Males,,"77.948
(54.687 to 105.047)","16.608
(12.653 to 21.188)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [28, 30) wks, [2500, 3000) g",Mortality,Females,,"79.193
(54.099 to 112.236)","20.387
(15.089 to 26.434)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [28, 30) wks, [3000, 3500) g",Mortality,Males,,"42.199
(29.891 to 57.227)","10.082
(7.777 to 13.056)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [28, 30) wks, [3000, 3500) g",Mortality,Females,,"42.551
(28.25 to 63.209)","11.989
(9.084 to 15.544)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [30, 32) wks, [2500, 3000) g",Mortality,Males,,"58.722
(42.419 to 78.873)","12.115
(9.518 to 15.521)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [30, 32) wks, [2500, 3000) g",Mortality,Females,,"59.522
(42.058 to 82.793)","15.364
(11.936 to 19.581)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [30, 32) wks, [3000, 3500) g",Mortality,Males,,"45.67
(32.014 to 65.531)","8.381
(6.362 to 10.842)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [30, 32) wks, [3000, 3500) g",Mortality,Females,,"46.104
(30.243 to 66.207)","10.506
(8.041 to 13.513)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [30, 32) wks, [3500, 4000) g",Mortality,Males,,"36.334
(21.558 to 54.813)","5.698
(4.293 to 7.349)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [30, 32) wks, [3500, 4000) g",Mortality,Females,,"37.931
(22.692 to 61.276)","6.892
(5.175 to 9.058)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [32, 34) wks, [3000, 3500) g",Mortality,Males,,"34.016
(23.515 to 48.37)","6.577
(4.934 to 8.436)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [32, 34) wks, [3000, 3500) g",Mortality,Females,,"34.585
(22.909 to 49.754)","8.314
(6.362 to 10.789)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [32, 34) wks, [3500, 4000) g",Mortality,Males,,"36.248
(23.158 to 54.67)","5.068
(3.761 to 6.741)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [32, 34) wks, [3500, 4000) g",Mortality,Females,,"38.098
(23.301 to 59.429)","6.476
(4.666 to 8.689)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [36, 37) wks, [1000, 1500) g",Mortality,Males,,"166.686
(118.487 to 222.581)","57.535
(45.999 to 71.742)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [36, 37) wks, [1000, 1500) g",Mortality,Females,,"169.725
(119.017 to 229.008)","63.564
(50.068 to 80.703)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [38, 40) wks, [1000, 1500) g",Mortality,Males,,"174.066
(125.125 to 232.507)","57.966
(44.393 to 73.241)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [38, 40) wks, [1000, 1500) g",Mortality,Females,,"171.557
(121.585 to 237.047)","65.208
(48.821 to 84.308)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [38, 40) wks, [1500, 2000) g",Mortality,Males,,"67.302
(49.547 to 89.055)","25.206
(20.365 to 31.168)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [38, 40) wks, [1500, 2000) g",Mortality,Females,,"62.19
(45.884 to 83.445)","28.05
(22.625 to 35.139)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [40, 42) wks, [1500, 2000) g",Mortality,Males,,"76.673
(56.177 to 102.468)","25.785
(19.387 to 34.168)",,,,,,,,,,,,,,,,,,,,,
Neonatal preterm birth,"Birth prevalence - [40, 42) wks, [1500, 2000) g",Mortality,Females,,"70.411
(49.221 to 97.952)","29.113
(21.355 to 38.272)",,,,,,,,,,,,,,,,,,,,,
Neonatal encephalopathy due to birth asphyxia and trauma,"Birth prevalence - [0, 24) wks, [0, 500) g",Mortality,Males,,"1564.792
(1056.542 to 2116.062)","618.595
(458.842 to 812.921)",,,,,,,,,,,,,,,,,,,,,
Neonatal encephalopathy due to birth asphyxia and trauma,"Birth prevalence - [0, 24) wks, [0, 500) g",Mortality,Females,,"1600.122
(1050.664 to 2211.877)","713.571
(526.178 to 921.018)",,,,,,,,,,,,,,,,,,,,,
Neonatal encephalopathy due to birth asphyxia and trauma,"Birth prevalence - [0, 24) wks, [500, 1000) g",Mortality,Males,,"1155.815
(825.412 to 1506.837)","457.5
(352.552 to 573.483)",,,,,,,,,,,,,,,,,,,,,
Neonatal encephalopathy due to birth asphyxia and trauma,"Birth prevalence - [0, 24) wks, [500, 1000) g",Mortality,Females,,"1169.123
(802.003 to 1617.979)","515.406
(396.713 to 641.541)",,,,,,,,,,,,,,,,,,,,,
Neonatal encephalopathy due to birth asphyxia and trauma,"Birth prevalence - [24, 26) wks, [500, 1000) g",Mortality,Males,,"955.583
(723.748 to 1244.265)","443.357
(363.03 to 534.695)",,,,,,,,,,,,,,,,,,,,,
Neonatal encephalopathy due to birth asphyxia and trauma,"Birth prevalence - [24, 26) wks, [500, 1000) g",Mortality,Females,,"947.143
(702.662 to 1237.093)","487.549
(387.307 to 603.498)",,,,,,,,,,,,,,,,,,,,,
Neonatal encephalopathy due to birth asphyxia and trauma,"Birth prevalence - [26, 28) wks, [500, 1000) g",Mortality,Males,,"497.817
(377.617 to 648.547)","330.886
(261.438 to 401.709)",,,,,,,,,,,,,,,,,,,,,
Neonatal encephalopathy due to birth asphyxia and trauma,"Birth prevalence - [26, 28) wks, [500, 1000) g",Mortality,Females,,"483.682
(354.946 to 629.517)","344.618
(274.427 to 419.864)",,,,,,,,,,,,,,,,,,,,,
Neonatal encephalopathy due to birth asphyxia and trauma,"Birth prevalence - [30, 32) wks, [500, 1000) g",Mortality,Males,,"236.614
(163.821 to 324.502)","149.995
(117.866 to 188.368)",,,,,,,,,,,,,,,,,,,,,
Neonatal encephalopathy due to birth asphyxia and trauma,"Birth prevalence - [30, 32) wks, [500, 1000) g",Mortality,Females,,"229.197
(157.606 to 317.194)","152.117
(120.779 to 190.583)",,,,,,,,,,,,,,,,,,,,,
Neonatal encephalopathy due to birth asphyxia and trauma,"Birth prevalence - [28, 30) wks, [500, 1000) g",Mortality,Males,,"297.629
(214.953 to 396.586)","216.995
(173.321 to 271.466)",,,,,,,,,,,,,,,,,,,,,
Neonatal encephalopathy due to birth asphyxia and trauma,"Birth prevalence - [28, 30) wks, [500, 1000) g",Mortality,Females,,"281.056
(198.176 to 386.635)","219.884
(174.264 to 272.704)",,,,,,,,,,,,,,,,,,,,,
Neonatal encephalopathy due to birth asphyxia and trauma,"Birth prevalence - [26, 28) wks, [1000, 1500) g",Mortality,Males,,"267.91
(210.177 to 332.92)","164.167
(132.898 to 200.569)",,,,,,,,,,,,,,,,,,,,,
Neonatal encephalopathy due to birth asphyxia and trauma,"Birth prevalence - [26, 28) wks, [1000, 1500) g",Mortality,Females,,"266.509
(197.461 to 346.932)","174.222
(137.431 to 217.349)",,,,,,,,,,,,,,,,,,,,,
Neonatal encephalopathy due to birth asphyxia and trauma,"Birth prevalence - [34, 36) wks, [1000, 1500) g",Mortality,Males,,"142.056
(98.086 to 197.774)","52.86
(42.914 to 64.617)",,,,,,,,,,,,,,,,,,,,,
Neonatal encephalopathy due to birth asphyxia and trauma,"Birth prevalence - [34, 36) wks, [1000, 1500) g",Mortality,Females,,"141.899
(95.864 to 197.656)","57.421
(46.452 to 71.339)",,,,,,,,,,,,,,,,,,,,,
Neonatal encephalopathy due to birth asphyxia and trauma,"Birth prevalence - [28, 30) wks, [1500, 2000) g",Mortality,Males,,"127.966
(97.178 to 167.026)","50.018
(40.539 to 61.919)",,,,,,,,,,,,,,,,,,,,,
Neonatal encephalopathy due to birth asphyxia and trauma,"Birth prevalence - [28, 30) wks, [1500, 2000) g",Mortality,Females,,"130.924
(96.513 to 172.188)","57.275
(46.36 to 70.038)",,,,,,,,,,,,,,,,,,,,,
Neonatal encephalopathy due to birth asphyxia and trauma,"Birth prevalence - [28, 30) wks, [1000, 1500) g",Mortality,Males,,"158.563
(120.99 to 204.947)","103.32
(83.486 to 127.144)",,,,,,,,,,,,,,,,,,,,,
Neonatal encephalopathy due to birth asphyxia and trauma,"Birth prevalence - [28, 30) wks, [1000, 1500) g",Mortality,Females,,"153.905
(112.327 to 200.786)","107.529
(86.954 to 131.78)",,,,,,,,,,,,,,,,,,,,,
Neonatal encephalopathy due to birth asphyxia and trauma,"Birth prevalence - [32, 34) wks, [1000, 1500) g",Mortality,Males,,"117.142
(81.354 to 161.101)","53.185
(43.049 to 66.274)",,,,,,,,,,,,,,,,,,,,,
