Appendix Table 6d. Relative risks used by age and sex for each outcome for smoking globally,,,,,,,,,,,,,,,,,
Chronic lymphoid leukaemia,12.4 Pack-Years,Both,Female,"2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)"
Chronic lymphoid leukaemia,24.8 Pack-Years,Both,Male,"2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)"
Chronic lymphoid leukaemia,24.8 Pack-Years,Both,Female,"2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)"
Chronic lymphoid leukaemia,37.1 Pack-Years,Both,Male,"2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)"
Chronic lymphoid leukaemia,37.1 Pack-Years,Both,Female,"2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)"
Acute myeloid leukaemia,0 Pack-Years,Both,Male,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Acute myeloid leukaemia,0 Pack-Years,Both,Female,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Acute myeloid leukaemia,12.4 Pack-Years,Both,Male,"2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)"
Acute myeloid leukaemia,12.4 Pack-Years,Both,Female,"2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)"
Acute myeloid leukaemia,24.8 Pack-Years,Both,Male,"2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)"
Acute myeloid leukaemia,24.8 Pack-Years,Both,Female,"2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)"
Acute myeloid leukaemia,37.1 Pack-Years,Both,Male,"2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)"
Acute myeloid leukaemia,37.1 Pack-Years,Both,Female,"2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)"
Chronic myeloid leukaemia,0 Pack-Years,Both,Male,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Chronic myeloid leukaemia,0 Pack-Years,Both,Female,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Chronic myeloid leukaemia,12.4 Pack-Years,Both,Male,"2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)"
Chronic myeloid leukaemia,12.4 Pack-Years,Both,Female,"2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)"
Chronic myeloid leukaemia,24.8 Pack-Years,Both,Male,"2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)"
Chronic myeloid leukaemia,24.8 Pack-Years,Both,Female,"2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)"
Chronic myeloid leukaemia,37.1 Pack-Years,Both,Male,"2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)"
Chronic myeloid leukaemia,37.1 Pack-Years,Both,Female,"2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)"
Other leukaemia,0 Pack-Years,Both,Male,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Other leukaemia,0 Pack-Years,Both,Female,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Other leukaemia,12.4 Pack-Years,Both,Male,"2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)"
Other leukaemia,12.4 Pack-Years,Both,Female,"2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)","2.011
(1.0 to 3.609)"
Other leukaemia,24.8 Pack-Years,Both,Male,"2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)"
Other leukaemia,24.8 Pack-Years,Both,Female,"2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)","2.253
(1.071 to 3.961)"
Other leukaemia,37.1 Pack-Years,Both,Male,"2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)"
Other leukaemia,37.1 Pack-Years,Both,Female,"2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)","2.64
(1.483 to 4.386)"
Ischaemic heart disease,0 Cigarettes Per Smoker Per Day,Both,Male,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Ischaemic heart disease,0 Cigarettes Per Smoker Per Day,Both,Female,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Ischaemic heart disease,11.2 Cigarettes Per Smoker Per Day,Both,Male,"2.965
(2.571 to 3.372)","2.965
(2.571 to 3.372)","2.965
(2.571 to 3.372)","2.526
(2.229 to 2.813)","2.526
(2.229 to 2.813)","2.125
(1.907 to 2.346)","2.125
(1.907 to 2.346)","1.773
(1.641 to 1.908)","1.773
(1.641 to 1.908)","1.46
(1.375 to 1.558)","1.46
(1.375 to 1.558)","1.187
(1.132 to 1.247)","1.187
(1.132 to 1.247)","1.002
(1.0 to 1.01)"
Ischaemic heart disease,11.2 Cigarettes Per Smoker Per Day,Both,Female,"3.783
(2.956 to 4.813)","3.783
(2.956 to 4.813)","3.783
(2.956 to 4.813)","3.183
(2.593 to 3.822)","3.183
(2.593 to 3.822)","2.608
(2.201 to 3.027)","2.608
(2.201 to 3.027)","2.131
(1.906 to 2.365)","2.131
(1.906 to 2.365)","1.68
(1.559 to 1.792)","1.68
(1.559 to 1.792)","1.277
(1.224 to 1.332)","1.277
(1.224 to 1.332)","1.004
(1.0 to 1.013)"
Ischaemic heart disease,22.5 Cigarettes Per Smoker Per Day,Both,Male,"3.29
(2.805 to 3.847)","3.29
(2.805 to 3.847)","3.29
(2.805 to 3.847)","2.671
(2.327 to 3.056)","2.671
(2.327 to 3.056)","2.188
(1.945 to 2.427)","2.188
(1.945 to 2.427)","1.784
(1.626 to 1.964)","1.784
(1.626 to 1.964)","1.457
(1.369 to 1.557)","1.457
(1.369 to 1.557)","1.188
(1.147 to 1.234)","1.188
(1.147 to 1.234)","1.001
(1.0 to 1.007)"
Ischaemic heart disease,22.5 Cigarettes Per Smoker Per Day,Both,Female,"6.684
(5.11 to 8.413)","6.684
(5.11 to 8.413)","6.684
(5.11 to 8.413)","4.917
(3.923 to 5.931)","4.917
(3.923 to 5.931)","3.569
(3.012 to 4.161)","3.569
(3.012 to 4.161)","2.572
(2.258 to 2.875)","2.572
(2.258 to 2.875)","1.85
(1.709 to 1.999)","1.85
(1.709 to 1.999)","1.33
(1.279 to 1.386)","1.33
(1.279 to 1.386)","1.003
(1.0 to 1.012)"
Ischaemic heart disease,33.8 Cigarettes Per Smoker Per Day,Both,Male,"4.276
(3.407 to 5.103)","4.276
(3.407 to 5.103)","4.276
(3.407 to 5.103)","3.388
(2.792 to 4.008)","3.388
(2.792 to 4.008)","2.634
(2.256 to 3.038)","2.634
(2.256 to 3.038)","2.054
(1.821 to 2.296)","2.054
(1.821 to 2.296)","1.599
(1.458 to 1.731)","1.599
(1.458 to 1.731)","1.236
(1.169 to 1.311)","1.236
(1.169 to 1.311)","1.002
(1.0 to 1.013)"
Ischaemic heart disease,33.8 Cigarettes Per Smoker Per Day,Both,Female,"9.744
(7.026 to 12.903)","9.744
(7.026 to 12.903)","9.744
(7.026 to 12.903)","6.798
(5.18 to 8.755)","6.798
(5.18 to 8.755)","4.678
(3.713 to 5.73)","4.678
(3.713 to 5.73)","3.246
(2.742 to 3.794)","3.246
(2.742 to 3.794)","2.178
(1.938 to 2.425)","2.178
(1.938 to 2.425)","1.452
(1.369 to 1.536)","1.452
(1.369 to 1.536)","1.004
(1.0 to 1.014)"
Ischaemic heart disease,45 Cigarettes Per Smoker Per Day,Both,Male,"5.45
(3.718 to 7.541)","5.45
(3.718 to 7.541)","5.45
(3.718 to 7.541)","4.139
(2.953 to 5.545)","4.139
(2.953 to 5.545)","3.075
(2.296 to 3.931)","3.075
(2.296 to 3.931)","2.325
(1.746 to 2.927)","2.325
(1.746 to 2.927)","1.737
(1.39 to 2.104)","1.737
(1.39 to 2.104)","1.303
(1.132 to 1.484)","1.303
(1.132 to 1.484)","1.008
(1.0 to 1.038)"
Ischaemic heart disease,45 Cigarettes Per Smoker Per Day,Both,Female,"11.771
(7.222 to 17.611)","11.771
(7.222 to 17.611)","11.771
(7.222 to 17.611)","7.729
(4.893 to 11.42)","7.729
(4.893 to 11.42)","5.097
(3.524 to 7.021)","5.097
(3.524 to 7.021)","3.414
(2.463 to 4.466)","3.414
(2.463 to 4.466)","2.239
(1.754 to 2.79)","2.239
(1.754 to 2.79)","1.436
(1.236 to 1.651)","1.436
(1.236 to 1.651)","1.006
(1.0 to 1.036)"
Ischaemic heart disease,56.2 Cigarettes Per Smoker Per Day,Both,Male,"5.574
(3.774 to 7.899)","5.574
(3.774 to 7.899)","5.574
(3.774 to 7.899)","4.182
(2.877 to 5.614)","4.182
(2.877 to 5.614)","3.016
(2.218 to 3.956)","3.016
(2.218 to 3.956)","2.227
(1.65 to 2.849)","2.227
(1.65 to 2.849)","1.647
(1.286 to 2.018)","1.647
(1.286 to 2.018)","1.229
(1.022 to 1.441)","1.229
(1.022 to 1.441)","1.008
(1.0 to 1.05)"
Ischaemic heart disease,56.2 Cigarettes Per Smoker Per Day,Both,Female,"13.641
(7.463 to 22.811)","13.641
(7.463 to 22.811)","13.641
(7.463 to 22.811)","8.813
(4.958 to 14.032)","8.813
(4.958 to 14.032)","5.612
(3.445 to 8.338)","5.612
(3.445 to 8.338)","3.69
(2.602 to 5.039)","3.69
(2.602 to 5.039)","2.405
(1.788 to 3.044)","2.405
(1.788 to 3.044)","1.58
(1.33 to 1.849)","1.58
(1.33 to 1.849)","1.018
(1.0 to 1.077)"
Ischaemic stroke,0 Cigarettes Per Smoker Per Day,Both,Male,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Ischaemic stroke,0 Cigarettes Per Smoker Per Day,Both,Female,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Ischaemic stroke,10 Cigarettes Per Smoker Per Day,Both,Male,"2.363
(1.976 to 2.74)","2.363
(1.976 to 2.74)","2.363
(1.976 to 2.74)","2.112
(1.84 to 2.402)","2.112
(1.84 to 2.402)","1.843
(1.639 to 2.061)","1.843
(1.639 to 2.061)","1.606
(1.461 to 1.755)","1.606
(1.461 to 1.755)","1.386
(1.289 to 1.48)","1.386
(1.289 to 1.48)","1.153
(1.101 to 1.204)","1.153
(1.101 to 1.204)","1.011
(1.0 to 1.041)"
Ischaemic stroke,10 Cigarettes Per Smoker Per Day,Both,Female,"2.334
(1.689 to 3.166)","2.334
(1.689 to 3.166)","2.334
(1.689 to 3.166)","2.101
(1.605 to 2.723)","2.101
(1.605 to 2.723)","1.916
(1.509 to 2.33)","1.916
(1.509 to 2.33)","1.721
(1.435 to 2.014)","1.721
(1.435 to 2.014)","1.479
(1.317 to 1.639)","1.479
(1.317 to 1.639)","1.204
(1.116 to 1.301)","1.204
(1.116 to 1.301)","1.007
(1.0 to 1.027)"
Ischaemic stroke,20 Cigarettes Per Smoker Per Day,Both,Male,"2.319
(1.923 to 2.747)","2.319
(1.923 to 2.747)","2.319
(1.923 to 2.747)","1.971
(1.703 to 2.277)","1.971
(1.703 to 2.277)","1.662
(1.454 to 1.884)","1.662
(1.454 to 1.884)","1.415
(1.285 to 1.56)","1.415
(1.285 to 1.56)","1.222
(1.143 to 1.307)","1.222
(1.143 to 1.307)","1.08
(1.045 to 1.119)","1.08
(1.045 to 1.119)","1.004
(1.0 to 1.016)"
Ischaemic stroke,20 Cigarettes Per Smoker Per Day,Both,Female,"3.737
(2.688 to 4.979)","3.737
(2.688 to 4.979)","3.737
(2.688 to 4.979)","3.04
(2.299 to 3.938)","3.04
(2.299 to 3.938)","2.443
(1.876 to 3.059)","2.443
(1.876 to 3.059)","1.94
(1.598 to 2.277)","1.94
(1.598 to 2.277)","1.527
(1.326 to 1.723)","1.527
(1.326 to 1.723)","1.194
(1.127 to 1.274)","1.194
(1.127 to 1.274)","1.003
(1.0 to 1.014)"
Ischaemic stroke,30 Cigarettes Per Smoker Per Day,Both,Male,"3.178
(2.653 to 3.77)","3.178
(2.653 to 3.77)","3.178
(2.653 to 3.77)","2.666
(2.265 to 3.069)","2.666
(2.265 to 3.069)","2.224
(1.945 to 2.515)","2.224
(1.945 to 2.515)","1.849
(1.663 to 2.037)","1.849
(1.663 to 2.037)","1.518
(1.397 to 1.64)","1.518
(1.397 to 1.64)","1.209
(1.15 to 1.263)","1.209
(1.15 to 1.263)","1.009
(1.0 to 1.034)"
Ischaemic stroke,30 Cigarettes Per Smoker Per Day,Both,Female,"5.491
(3.813 to 7.703)","5.491
(3.813 to 7.703)","5.491
(3.813 to 7.703)","4.206
(2.989 to 5.642)","4.206
(2.989 to 5.642)","3.136
(2.326 to 4.018)","3.136
(2.326 to 4.018)","2.3
(1.87 to 2.815)","2.3
(1.87 to 2.815)","1.721
(1.474 to 2.006)","1.721
(1.474 to 2.006)","1.292
(1.172 to 1.413)","1.292
(1.172 to 1.413)","1.007
(1.0 to 1.025)"
Ischaemic stroke,40 Cigarettes Per Smoker Per Day,Both,Male,"3.431
(2.454 to 4.606)","3.431
(2.454 to 4.606)","3.431
(2.454 to 4.606)","2.734
(2.011 to 3.596)","2.734
(2.011 to 3.596)","2.117
(1.619 to 2.739)","2.117
(1.619 to 2.739)","1.659
(1.313 to 2.061)","1.659
(1.313 to 2.061)","1.337
(1.123 to 1.585)","1.337
(1.123 to 1.585)","1.119
(1.021 to 1.22)","1.119
(1.021 to 1.22)","1.011
(1.0 to 1.038)"
Ischaemic stroke,40 Cigarettes Per Smoker Per Day,Both,Female,"7.127
(4.104 to 11.541)","7.127
(4.104 to 11.541)","7.127
(4.104 to 11.541)","5.103
(3.045 to 7.724)","5.103
(3.045 to 7.724)","3.636
(2.299 to 5.219)","3.636
(2.299 to 5.219)","2.593
(1.808 to 3.589)","2.593
(1.808 to 3.589)","1.781
(1.325 to 2.376)","1.781
(1.325 to 2.376)","1.209
(1.0 to 1.43)","1.209
(1.0 to 1.43)","1.008
(1.0 to 1.036)"
Ischaemic stroke,50 Cigarettes Per Smoker Per Day,Both,Male,"4.456
(2.943 to 6.299)","4.456
(2.943 to 6.299)","4.456
(2.943 to 6.299)","3.491
(2.396 to 4.743)","3.491
(2.396 to 4.743)","2.659
(1.915 to 3.56)","2.659
(1.915 to 3.56)","2.048
(1.526 to 2.611)","2.048
(1.526 to 2.611)","1.579
(1.203 to 1.976)","1.579
(1.203 to 1.976)","1.211
(1.0 to 1.464)","1.211
(1.0 to 1.464)","1.035
(1.0 to 1.144)"
Ischaemic stroke,50 Cigarettes Per Smoker Per Day,Both,Female,"9.851
(5.013 to 17.851)","9.851
(5.013 to 17.851)","9.851
(5.013 to 17.851)","6.922
(3.959 to 11.353)","6.922
(3.959 to 11.353)","5.0
(3.058 to 7.745)","5.0
(3.058 to 7.745)","3.569
(2.397 to 4.973)","3.569
(2.397 to 4.973)","2.352
(1.697 to 3.091)","2.352
(1.697 to 3.091)","1.453
(1.136 to 1.809)","1.453
(1.136 to 1.809)","1.026
(1.0 to 1.112)"
Ischaemic stroke,60 Cigarettes Per Smoker Per Day,Both,Male,"5.317
(2.793 to 8.673)","5.317
(2.793 to 8.673)","5.317
(2.793 to 8.673)","4.155
(2.304 to 6.585)","4.155
(2.304 to 6.585)","3.175
(1.804 to 4.855)","3.175
(1.804 to 4.855)","2.395
(1.464 to 3.507)","2.395
(1.464 to 3.507)","1.844
(1.18 to 2.676)","1.844
(1.18 to 2.676)","1.385
(1.0 to 1.885)","1.385
(1.0 to 1.885)","1.101
(1.0 to 1.366)"
