Country,Country Code,Rwanda,Year,Number of Records,Proportion of seats held by women in national parliaments (%),Proportion of seats held by women in national parliaments (%) (copy),Random Noise,World %,Year Jittered,Year Jittered (copy)
Upper middle income,UMC,No,2003,1,16%,16.0%,0.041882727,,2003.190010871,2003.327288207
Uruguay,URY,No,2003,1,12%,12.1%,0.226713535,,2003.111270571,2003.177136963
Uzbekistan,UZB,No,2003,1,7%,7.2%,0.421523281,,2003.023481991,2003.137318267
Vanuatu,VUT,No,2003,1,2%,1.9%,0.325337829,,2002.977338409,2003.009109360
Venezuela,VEN,No,2003,1,10%,9.7%,0.717899154,,2003.256001388,2003.010311725
Vietnam,VNM,No,2003,1,27%,27.3%,0.577228411,,2002.947918151,2003.144992176
World,WLD,No,2003,1,15%,15.2%,0.338447444,15.2%,2003,2003.300093866
Yemen,YEM,No,2003,1,0%,0.3%,0.391955850,,2003.121504310,2003.193540322
Zambia,ZMB,No,2003,1,12%,12.0%,0.333778265,,2003.269195791,2003.100059156
Zimbabwe,ZWE,No,2003,1,10%,10.0%,0.425679268,,2002.687613908,2003.045303107
Early-demographic dividend,EAR,No,2004,1,12%,12.1%,0.275547783,,2004.007350644,2004.299837276
East Asia & Pacific,EAS,No,2004,1,17%,16.6%,0.771434174,,2003.777653484,2004.156879858
East Asia & Pacific (IDA & IBRD countries),TEA,No,2004,1,17%,16.7%,0.343682055,,2004.121140054,2004.121408689
East Asia & Pacific (excluding high income),EAP,No,2004,1,17%,17.2%,0.048164716,,2003.690239792,2004.024047675
Ecuador,ECU,No,2004,1,16%,16.0%,0.664797713,,2003.975271316,2004.024136373
Egypt,EGY,No,2004,1,3%,2.9%,0.616971531,,2003.766296470,2004.214351459
El Salvador,SLV,No,2004,1,11%,10.7%,0.176702435,,2003.763331810,2004.268470721
Equatorial Guinea,GNQ,No,2004,1,18%,18.0%,0.399610482,,2004.049871490,2004.181695863
Eritrea,ERI,No,2004,1,22%,22.0%,0.431772206,,2003.756371432,2004.164300645
Estonia,EST,No,2004,1,19%,18.8%,0.720671316,,2004.129085203,2004.056963671
Eswatini,SWZ,No,2004,1,11%,10.8%,0.965384471,,2003.792720536,2004.053932600
Ethiopia,ETH,No,2004,1,8%,7.7%,0.450056320,,2003.718505898,2004.227421945
Euro area,EMU,No,2004,1,22%,21.7%,0.703639053,,2004.332695555,2004.107234447
Europe & Central Asia,ECS,No,2004,1,19%,18.8%,0.233444168,,2003.980125498,2004.105923923
Europe & Central Asia (IDA & IBRD countries),TEC,No,2004,1,12%,12.4%,0.953998650,,2003.714873542,2004.022366693
Europe & Central Asia (excluding high income),ECA,No,2004,1,11%,10.9%,0.353738055,,2004.087358899,2004.059025353
European Union,EUU,No,2004,1,22%,22.1%,0.357678146,,2003.901894337,2004.163072598
Finland,FIN,No,2004,1,38%,37.5%,0.110068172,,2004.101377853,2004.040023248
France,FRA,No,2004,1,12%,12.2%,0.938964846,,2004.162552700,2004.251193995
Gabon,GAB,No,2004,1,9%,9.2%,0.795589905,,2003.758080187,2004.152596786
Gambia,GMB,No,2004,1,13%,13.2%,0.691939997,,2004.272496494,2004.278652730
Georgia,GEO,No,2004,1,9%,9.4%,0.510539940,,2004.277909127,2004.017802153
Germany,DEU,No,2004,1,33%,32.8%,0.967429374,,2003.843581668,2004.099306119
Ghana,GHA,No,2004,1,11%,10.9%,0.612799362,,2003.684550912,2004.224770713
Greece,GRC,No,2004,1,14%,14.0%,0.824526302,,2004.066719457,2004.253646625
Grenada,GRD,No,2004,1,27%,26.7%,0.624877241,,2004.232507577,2004.292765629
Guatemala,GTM,No,2004,1,8%,8.2%,0.207303734,,2004.298793651,2004.276628258
Guinea-Bissau,GNB,No,2004,1,14%,14.0%,0.264601465,,2003.902882253,2004.041183637
Guyana,GUY,No,2004,1,31%,30.8%,0.392498334,,2003.927859166,2004.157111631
Haiti,HTI,No,2004,1,4%,3.6%,0.070441810,,2004.292133021,2004.295618470
Heavily indebted poor countries (HIPC),HPC,No,2004,1,14%,14.1%,0.181737958,,2004.046678806,2004.018129390
High income,HIC,No,2004,1,19%,19.5%,0.128357500,,2004.12055136,2004.241548602
Honduras,HND,No,2004,1,5%,5.5%,0.730054135,,2004.294060239,2004.159198801
Hungary,HUN,No,2004,1,9%,9.1%,0.617047547,,2003.881606416,2004.085691427
IBRD only,IBD,No,2004,1,15%,14.9%,0.102086508,,2004.301889039,2004.299362016
IDA & IBRD total,IBT,No,2004,1,14%,13.8%,0.433278109,,2004.214886762,2004.305064690
IDA only,IDX,No,2004,1,12%,12.2%,0.410121587,,2004.149088321,2004.034901739
IDA total,IDA,No,2004,1,12%,12.1%,0.886198122,,2003.849267776,2004.057459306
Iceland,ISL,No,2004,1,30%,30.2%,0.163949160,,2003.984324750,2004.059481092
India,IND,No,2004,1,8%,8.3%,0.886706276,,2004.064062143,2004.269716975
Indonesia,IDN,No,2004,1,11%,11.3%,0.884632159,,2004.099674247,2004.154419389
Iran,IRN,No,2004,1,4%,4.1%,0.331631995,,2003.731186953,2004.190416407
Ireland,IRL,No,2004,1,13%,13.3%,0.502639012,,2004.262590864,2004.063862417
Israel,ISR,No,2004,1,15%,15.0%,0.765906533,,2004.206753922,2004.067356081
Italy,ITA,No,2004,1,12%,11.5%,0.618579210,,2003.966419997,2004.259936105
Jamaica,JAM,No,2004,1,12%,11.7%,0.977693155,,2003.863211812,2004.239469583
Japan,JPN,No,2004,1,7%,7.1%,0.507453023,,2004.022280809,2004.185562988
Jordan,JOR,No,2004,1,5%,5.5%,0.619554341,,2004.149181259,2004.057863380
Kazakhstan,KAZ,No,2004,1,10%,10.4%,0.711138709,,2004.002599651,2004.175285142
Kenya,KEN,No,2004,1,7%,7.1%,0.461955636,,2004.109922638,2004.067229917
Kiribati,KIR,No,2004,1,5%,4.8%,0.360086773,,2004.014049212,2004.221933551
Kuwait,KWT,No,2004,1,0%,0.0%,0.639568343,,2003.793647013,2004.051106892
Kyrgyz Republic,KGZ,No,2004,1,10%,10.0%,0.574942949,,2003.708832506,2004.071666067
Lao PDR,LAO,No,2004,1,23%,22.9%,0.542066466,,2004.096477157,2004.216111008
Late-demographic dividend,LTE,No,2004,1,16%,15.8%,0.001904306,,2003.863849877,2004.075636118
Latin America & Caribbean,LCN,No,2004,1,19%,19.0%,0.300798764,,2004.076569560,2004.122490852
Latin America & Caribbean (excluding high income),LAC,No,2004,1,20%,19.6%,0.570234657,,2004.053024970,2004.096548168
Latin America & the Caribbean (IDA & IBRD countries),TLA,No,2004,1,16%,16.0%,0.648918802,,2004.137960029,2004.232519097
Latvia,LVA,No,2004,1,21%,21.0%,0.588292143,,2004.215271269,2004.123448461
Least developed countries: UN classification,LDC,No,2004,1,13%,12.8%,0.132463785,,2004.076766598,2004.000763810
Lebanon,LBN,No,2004,1,2%,2.3%,0.997436701,,2003.823112362,2004.012436199
Lesotho,LSO,No,2004,1,12%,11.7%,0.204886780,,2004.050672512,2004.120517091
Liberia,LBR,No,2004,1,5%,5.3%,0.854589107,,2003.737661211,2004.243894671
Liechtenstein,LIE,No,2004,1,12%,12.0%,0.089148104,,2003.681324311,2004.210560999
Lithuania,LTU,No,2004,1,22%,22.0%,0.161942206,,2004.147612531,2004.095255592
Low & middle income,LMY,No,2004,1,14%,14.4%,0.984506660,,2003.988424396,2004.214115314
Low income,LIC,No,2004,1,14%,14.3%,0.909042912,,2004.237829691,2004.029800158
Lower middle income,LMC,No,2004,1,11%,11.1%,0.525030318,,2004.118599516,2004.293148625
Luxembourg,LUX,No,2004,1,23%,23.3%,0.665974795,,2003.824060992,2004.061966389
Madagascar,MDG,No,2004,1,7%,6.9%,0.377627173,,2004.150489994,2004.095952942
Malawi,MWI,No,2004,1,14%,14.0%,0.383399444,,2004.269056746,2004.010418417
Malaysia,MYS,No,2004,1,9%,9.1%,0.039003217,,2004.008264706,2004.246841160
Maldives,MDV,No,2004,1,6%,6.0%,0.353089166,,2004.022643425,2004.025157572
Mali,MLI,No,2004,1,10%,10.2%,0.181599632,,2003.831610597,2004.004097523
Malta,MLT,No,2004,1,9%,9.2%,0.243201332,,2004.101282852,2004.294940390
Marshall Islands,MHL,No,2004,1,3%,3.0%,0.516728377,,2003.787097968,2004.017205293
Mauritius,MUS,No,2004,1,6%,5.7%,0.352946474,,2003.666759545,2004.275464721
Mexico,MEX,No,2004,1,23%,22.6%,0.888440774,,2004.178360722,2004.228971406
Micronesia,FSM,No,2004,1,0%,0.0%,0.715083262,,2004.025361501,2004.005687321
Middle East & North Africa,MEA,No,2004,1,7%,6.6%,0.741246124,,2003.772259650,2004.074242097
Middle East & North Africa (IDA & IBRD countries),TMN,No,2004,1,7%,7.0%,0.974308436,,2004.316345498,2004.321445087
Middle East & North Africa (excluding high income),MNA,No,2004,1,7%,7.0%,0.046491356,,2004.110386898,2004.214536812
Middle income,MIC,No,2004,1,14%,14.5%,0.915510851,,2003.890124841,2004.125756781
Moldova,MDA,No,2004,1,16%,15.8%,0.182317894,,2004.178789196,2004.267848203
Monaco,MCO,No,2004,1,21%,20.8%,0.595154386,,2003.742106781,2004.098306035
Mongolia,MNG,No,2004,1,7%,6.8%,0.528109149,,2003.886861384,2004.214552497
Morocco,MAR,No,2004,1,11%,10.8%,0.417807040,,2004.067426026,2004.239648844
Mozambique,MOZ,No,2004,1,35%,34.8%,0.352590182,,2003.884859829,2004.265391863
Namibia,NAM,No,2004,1,25%,25.0%,0.995998188,,2003.905222364,2004.309301207
Nauru,NRU,No,2004,1,0%,0.0%,0.793385745,,2004.325307536,2004.083343546
Nepal,NPL,No,2004,1,6%,5.9%,0.752487930,,2004.211263619,2004.257171573
Netherlands,NLD,No,2004,1,37%,36.7%,0.766465323,,2004.238744879,2004.300528261
New Zealand,NZL,No,2004,1,28%,28.3%,0.257091269,,2004.075216264,2004.317707754
Nicaragua,NIC,No,2004,1,21%,20.7%,0.149737710,,2004.321482742,2004.066890471
Niger,NER,No,2004,1,12%,12.4%,0.025562861,,2004.066988168,2004.298790934
Nigeria,NGA,No,2004,1,5%,4.7%,0.857153636,,2004.035363097,2004.039056672
North America,NAC,No,2004,1,17%,17.5%,0.102527698,,2003.841880971,2004.285280605
North Korea,PRK,No,2004,1,20%,20.1%,0.638244761,,2004.189997786,2004.040391424
North Macedonia,MKD,No,2004,1,19%,19.2%,0.420292232,,2003.992667089,2004.208761894
Norway,NOR,No,2004,1,38%,38.2%,0.446108404,,2004.025569053,2004.298005242
OECD members,OED,No,2004,1,20%,20.0%,0.558955375,,2004.209025131,2004.048361362
Other small states,OSS,No,2004,1,14%,13.7%,0.297540321,,2004.040575561,2004.139118998
Pakistan,PAK,No,2004,1,21%,21.3%,0.225104170,,2003.895883738,2004.301263097
Palau,PLW,No,2004,1,0%,0.0%,0.006628646,,2004.074743515,2004.143394114
Panama,PAN,No,2004,1,17%,16.7%,0.381699284,,2004.196102896,2004.110730480
Papua New Guinea,PNG,No,2004,1,1%,0.9%,0.436543708,,2003.720343176,2004.206689305
Paraguay,PRY,No,2004,1,10%,10.0%,0.345641207,,2003.770759128,2004.066942929
Peru,PER,No,2004,1,18%,18.3%,0.845444061,,2003.723452927,2004.234984891
Philippines,PHL,No,2004,1,15%,15.3%,0.874534579,,2003.952410961,2004.080897498
Poland,POL,No,2004,1,20%,20.2%,0.160813013,,2003.714326934,2004.087399219
Portugal,PRT,No,2004,1,19%,19.1%,0.857779368,,2003.690589893,2004.206104186
Post-demographic dividend,PST,No,2004,1,22%,21.7%,0.803008075,,2003.804322179,2004.292189762
Pre-demographic dividend,PRE,No,2004,1,14%,13.7%,0.328108642,,2003.808673454,2004.273775235
Romania,ROU,No,2004,1,11%,11.4%,0.086730660,,2004.027337728,2004.251723020
Russian Federation,RUS,No,2004,1,10%,9.8%,0.761344051,,2004.068341983,2004.028414941
Rwanda,RWA,Yes,2004,1,49%,48.8%,0.172415403,,2003.883281348,2004.324522181
Samoa,WSM,No,2004,1,6%,6.1%,0.095533687,,2003.817173874,2004.080404360
San Marino,SMR,No,2004,1,17%,16.7%,0.135646156,,2003.891473602,2004.147938554
Sao Tome and Principe,STP,No,2004,1,9%,9.1%,0.541163641,,2003.668283834,2004.177253297
Senegal,SEN,No,2004,1,19%,19.2%,0.914835917,,2004.089507323,2004.230391127
Seychelles,SYC,No,2004,1,29%,29.4%,0.595698963,,2004.248980459,2004.154409145
Sierra Leone,SLE,No,2004,1,15%,14.5%,0.808639155,,2004.192771549,2004.063083966
Singapore,SGP,No,2004,1,16%,16.0%,0.830669875,,2003.881565219,2004.067607024
Slovak Republic,SVK,No,2004,1,17%,16.7%,0.879019621,,2003.899481568,2004.012432172
Slovenia,SVN,No,2004,1,12%,12.2%,0.055362756,,2003.759000346,2004.091999344
Small states,SST,No,2004,1,13%,12.9%,0.848820611,,2003.879055469,2004.206905532
Solomon Islands,SLB,No,2004,1,0%,0.0%,0.225931473,,2003.778594752,2004.215434209
South Africa,ZAF,No,2004,1,33%,32.8%,0.133872764,,2003.731853208,2004.230767711
South Asia,SAS,No,2004,1,9%,9.0%,0.223242837,,2004.275835530,2004.026843657
South Asia (IDA & IBRD),TSA,No,2004,1,9%,9.0%,0.213642058,,2003.795717672,2004.016980424
South Korea,KOR,No,2004,1,13%,13.0%,0.515455780,,2004.207264516,2004.013175117
Spain,ESP,No,2004,1,36%,36.0%,0.522923965,,2004.248345690,2004.003765263
Sri Lanka,LKA,No,2004,1,5%,4.9%,0.729256904,,2003.790869964,2004.156325262
St. Kitts and Nevis,KNA,No,2004,1,0%,0.0%,0.840899881,,2004.061460881,2004.010986531
St. Lucia,LCA,No,2004,1,11%,11.1%,0.012760102,,2004.083663859,2004.276495875
St. Vincent and the Grenadines,VCT,No,2004,1,23%,22.7%,0.203109176,,2004.177463888,2004.325770502
Sub-Saharan Africa,SSF,No,2004,1,15%,14.7%,0.664694826,,2003.871745029,2004.254911866
Sub-Saharan Africa (IDA & IBRD countries),TSS,No,2004,1,15%,14.7%,0.198139512,,2004.291808254,2004.025620520
Sub-Saharan Africa (excluding high income),SSA,No,2004,1,15%,14.8%,0.379367108,,2004.121748345,2004.043156761
Sudan,SDN,No,2004,1,10%,9.7%,0.679930756,,2004.144557518,2004.158796661
Suriname,SUR,No,2004,1,20%,19.6%,0.395907939,,2004.043266425,2004.151101267
Sweden,SWE,No,2004,1,45%,45.3%,0.986388763,,2004.045678433,2004.273047727
Switzerland,CHE,No,2004,1,25%,25.0%,0.543490130,,2004.224015736,2004.103439873
Syria,SYR,No,2004,1,12%,12.0%,0.741809829,,2003.814731503,2004.017228555
Tajikistan,TJK,No,2004,1,13%,12.7%,0.650041431,,2003.682541810,2004.322006081
Tanzania,TZA,No,2004,1,21%,21.4%,0.879156460,,2004.274129403,2004.225821186
Thailand,THA,No,2004,1,9%,8.8%,0.145046909,,2004.098196975,2004.087926300
Togo,TGO,No,2004,1,6%,6.2%,0.915264447,,2004.090435327,2004.233284478
Tonga,TON,No,2004,1,0%,0.0%,0.395307648,,2004.295778052,2004.022592160
Trinidad and Tobago,TTO,No,2004,1,19%,19.4%,0.688351867,,2004.331263760,2004.200785983
Tunisia,TUN,No,2004,1,23%,22.8%,0.300502179,,2004.174092179,2004.129797731
Turkey,TUR,No,2004,1,4%,4.4%,0.869342863,,2003.800155823,2004.020347687
Tuvalu,TUV,No,2004,1,0%,0.0%,0.203776330,,2004.077117762,2004.112152910
Uganda,UGA,No,2004,1,24%,23.9%,0.984403932,,2004.302284696,2004.001240182
Ukraine,UKR,No,2004,1,5%,5.3%,0.043310342,,2004.147814594,2004.141395894
United Arab Emirates,ARE,No,2004,1,0%,0.0%,0.321711745,,2003.679316383,2004.171018620
United Kingdom,GBR,No,2004,1,18%,18.1%,0.934154784,,2003.829592294,2004.315331318
United States,USA,No,2004,1,15%,14.9%,0.305654323,,2003.701551159,2004.298232820
Upper middle income,UMC,No,2004,1,17%,17.0%,0.795269596,,2003.903250506,2004.061047555
Uruguay,URY,No,2004,1,12%,12.1%,0.252576654,,2004.119078940,2004.247757399
Uzbekistan,UZB,No,2004,1,18%,17.5%,0.884951305,,2003.828542669,2004.314511024
Vanuatu,VUT,No,2004,1,4%,3.8%,0.687008698,,2003.808380142,2004.005523945
Venezuela,VEN,No,2004,1,10%,9.7%,0.950934075,,2003.829918960,2004.104660102
Vietnam,VNM,No,2004,1,27%,27.3%,0.360222650,,2003.785546140,2004.025741802
World,WLD,No,2004,1,16%,15.9%,0.048187124,15.9%,2004,2004.198212817
Yemen,YEM,No,2004,1,0%,0.3%,0.211343439,,2003.720260661,2004.005561594
Zambia,ZMB,No,2004,1,12%,12.0%,0.134366479,,2003.715863766,2004.187800725
Zimbabwe,ZWE,No,2004,1,10%,10.0%,0.231784469,,2004.192860618,2004.151304583
Early-demographic dividend,EAR,No,2005,1,13%,12.9%,0.156883127,,2005.063175751,2005.265721293
East Asia & Pacific,EAS,No,2005,1,17%,16.9%,0.149784345,,2005.188365748,2005.138692427
East Asia & Pacific (IDA & IBRD countries),TEA,No,2005,1,17%,16.9%,0.281592421,,2005.077221121,2005.331923736
East Asia & Pacific (excluding high income),EAP,No,2005,1,17%,17.3%,0.710168964,,2004.932572002,2005.299100617
Ecuador,ECU,No,2005,1,16%,16.0%,0.840616959,,2004.719501715,2005.073918526
Egypt,EGY,No,2005,1,2%,2.0%,0.439736329,,2005.153464283,2005.012856533
El Salvador,SLV,No,2005,1,11%,10.7%,0.179138383,,2004.687543715,2005.057169741
Equatorial Guinea,GNQ,No,2005,1,18%,18.0%,0.879839528,,2004.840107110,2005.226454278
Eritrea,ERI,No,2005,1,22%,22.0%,0.936317485,,2005.035148566,2005.072935105
Estonia,EST,No,2005,1,19%,18.8%,0.868895421,,2004.854426249,2005.146488104
Eswatini,SWZ,No,2005,1,11%,10.8%,0.909876670,,2004.862176015,2005.312066863
Ethiopia,ETH,No,2005,1,21%,21.4%,0.396107841,,2004.785563172,2005.305873455
Euro area,EMU,No,2005,1,22%,22.2%,0.273416066,,2005.322625294,2005.056500975
Europe & Central Asia,ECS,No,2005,1,19%,19.2%,0.044932854,,2004.747329202,2005.237208819
Europe & Central Asia (IDA & IBRD countries),TEC,No,2005,1,12%,12.3%,0.819017983,,2005.266480825,2005.082409883
Europe & Central Asia (excluding high income),ECA,No,2005,1,11%,10.8%,0.413427464,,2005.106876118,2005.112668002
European Union,EUU,No,2005,1,22%,22.2%,0.753986681,,2004.864960500,2005.054386653
Finland,FIN,No,2005,1,38%,37.5%,0.959898005,,2004.850145286,2005.075983365
France,FRA,No,2005,1,12%,12.2%,0.007876683,,2004.681345885,2005.070041353
Gabon,GAB,No,2005,1,9%,9.2%,0.706498171,,2005.243139195,2005.086877385
Gambia,GMB,No,2005,1,13%,13.2%,0.890653578,,2005.137936243,2005.062936533
Georgia,GEO,No,2005,1,9%,9.4%,0.438760850,,2004.732605666,2005.196972928
Germany,DEU,No,2005,1,32%,31.8%,0.411916643,,2004.868143952,2005.110320360
Ghana,GHA,No,2005,1,11%,10.9%,0.616208596,,2005.291119257,2005.149247947
Greece,GRC,No,2005,1,13%,13.0%,0.211871304,,2004.685703916,2005.020862502
Grenada,GRD,No,2005,1,27%,26.7%,0.868761034,,2005.232723418,2005.195448642
Guatemala,GTM,No,2005,1,8%,8.2%,0.007026564,,2004.838240964,2005.007831270
Guinea-Bissau,GNB,No,2005,1,14%,14.0%,0.955411630,,2004.898997251,2005.278632796
Guyana,GUY,No,2005,1,31%,30.8%,0.836441267,,2005.144699168,2005.273210114
Haiti,HTI,No,2005,1,4%,3.6%,0.250576864,,2004.837586390,2005.230608190
Heavily indebted poor countries (HIPC),HPC,No,2005,1,17%,16.9%,0.248011459,,2005.026833700,2005.057022987
High income,HIC,No,2005,1,20%,20.1%,0.717251316,,2004.938433762,2005.277161909
Honduras,HND,No,2005,1,23%,23.4%,0.109884233,,2004.982348141,2005.231554689
Hungary,HUN,No,2005,1,9%,9.1%,0.271045986,,2004.887139446,2005.295979306
IBRD only,IBD,No,2005,1,14%,14.5%,0.991542932,,2005.040893630,2005.297109361
IDA & IBRD total,IBT,No,2005,1,15%,14.5%,0.675970907,,2005.257727307,2005.151027481
IDA only,IDX,No,2005,1,15%,15.1%,0.091951873,,2004.758816475,2005.253122636
IDA total,IDA,No,2005,1,15%,14.6%,0.440976345,,2004.960086804,2005.015287768
Iceland,ISL,No,2005,1,33%,33.3%,0.945177673,,2005.102142551,2005.026139071
India,IND,No,2005,1,8%,8.3%,0.223196612,,2005.007124087,2005.145096557
Indonesia,IDN,No,2005,1,11%,11.3%,0.505957817,,2004.904137368,2005.027241835
Iran,IRN,No,2005,1,4%,4.1%,0.784122793,,2005.062289710,2005.041644218
Ireland,IRL,No,2005,1,13%,13.3%,0.853988264,,2004.710207665,2005.257804936
Israel,ISR,No,2005,1,15%,15.0%,0.893078630,,2005.040386416,2005.193864180
Italy,ITA,No,2005,1,12%,11.5%,0.197509658,,2004.770507052,2005.132985941
Jamaica,JAM,No,2005,1,12%,11.7%,0.707320920,,2005.032711778,2005.076394368
Japan,JPN,No,2005,1,9%,9.0%,0.345357155,,2004.992287570,2005.169876633
Jordan,JOR,No,2005,1,5%,5.5%,0.117541453,,2005.331907983,2005.278726983
Kazakhstan,KAZ,No,2005,1,10%,10.4%,0.232997457,,2005.217635878,2005.039995865
Kenya,KEN,No,2005,1,7%,7.1%,0.237682936,,2005.122394496,2005.098114839
Kiribati,KIR,No,2005,1,5%,4.8%,0.451800563,,2005.151568576,2005.210499297
Kuwait,KWT,No,2005,1,2%,1.5%,0.367469846,,2004.684276452,2005.129963758
Kyrgyz Republic,KGZ,No,2005,1,0%,0.0%,0.183009499,,2005.162764583,2005.005950995
Lao PDR,LAO,No,2005,1,23%,22.9%,0.006390396,,2004.836000969,2005.332516018
Late-demographic dividend,LTE,No,2005,1,16%,16.0%,0.002867839,,2005.277438620,2005.132580280
Latin America & Caribbean,LCN,No,2005,1,20%,20.2%,0.911089105,,2004.726927207,2005.264198451
Latin America & Caribbean (excluding high income),LAC,No,2005,1,21%,20.9%,0.931929252,,2005.164029826,2005.160926794
Latin America & the Caribbean (IDA & IBRD countries),TLA,No,2005,1,17%,17.5%,0.887422117,,2004.702712016,2005.061830934
Latvia,LVA,No,2005,1,21%,21.0%,0.592648426,,2004.754050354,2005.018424729
Least developed countries: UN classification,LDC,No,2005,1,16%,15.7%,0.614777224,,2004.802433135,2005.039038496
Lebanon,LBN,No,2005,1,5%,4.7%,0.240700729,,2005.262353182,2005.129985608
Lesotho,LSO,No,2005,1,12%,11.7%,0.664288548,,2004.803801654,2005.081924075
Liberia,LBR,No,2005,1,13%,12.5%,0.348717289,,2004.976592171,2005.263039578
Liechtenstein,LIE,No,2005,1,24%,24.0%,0.581998331,,2004.860147359,2005.154434722
Lithuania,LTU,No,2005,1,22%,22.0%,0.449915518,,2005.036146620,2005.226206483
Low & middle income,LMY,No,2005,1,15%,15.0%,0.856465210,,2005.226217122,2005.030152619
Low income,LIC,No,2005,1,16%,16.5%,0.503427101,,2004.901084568,2005.268619497
Lower middle income,LMC,No,2005,1,12%,12.4%,0.051425752,,2004.827273057,2005.270348962
Luxembourg,LUX,No,2005,1,23%,23.3%,0.272590972,,2004.938231056,2005.191155619
Madagascar,MDG,No,2005,1,7%,6.9%,0.220195279,,2004.721364035,2005.090521701
Malawi,MWI,No,2005,1,14%,13.6%,0.236161950,,2004.907510407,2005.326240794
Malaysia,MYS,No,2005,1,9%,9.1%,0.097957775,,2004.739043468,2005.200138746
Maldives,MDV,No,2005,1,12%,12.0%,0.785722197,,2004.786708494,2005.068137591
Mali,MLI,No,2005,1,10%,10.2%,0.186823560,,2004.873570916,2005.101864406
Malta,MLT,No,2005,1,9%,9.2%,0.668851108,,2004.759375716,2005.173198145
Marshall Islands,MHL,No,2005,1,3%,3.0%,0.696712150,,2004.753778311,2005.295816374
Mauritius,MUS,No,2005,1,17%,17.1%,0.326060866,,2004.667255575,2005.088656403
Mexico,MEX,No,2005,1,24%,24.2%,0.771496129,,2004.793920514,2005.154781063
Micronesia,FSM,No,2005,1,0%,0.0%,0.320288363,,2005.265772041,2005.064266016
Middle East & North Africa,MEA,No,2005,1,6%,6.2%,0.885731277,,2005.303739967,2005.090792789
Middle East & North Africa (IDA & IBRD countries),TMN,No,2005,1,6%,6.4%,0.374568610,,2005.299890576,2005.322403131
Middle East & North Africa (excluding high income),MNA,No,2005,1,6%,6.4%,0.206013269,,2005.324018114,2005.248056348
Middle income,MIC,No,2005,1,15%,14.6%,0.475788134,,2005.121494872,2005.204281182
Moldova,MDA,No,2005,1,22%,21.8%,0.696858561,,2004.813790718,2005.271956734
Monaco,MCO,No,2005,1,21%,20.8%,0.531046376,,2004.816660619,2005.103446555
Mongolia,MNG,No,2005,1,7%,6.7%,0.146013713,,2005.039659947,2005.289741887
Morocco,MAR,No,2005,1,11%,10.8%,0.586611392,,2005.191440546,2005.206558416
Mozambique,MOZ,No,2005,1,35%,34.8%,0.427923448,,2004.978117747,2005.110514043
Namibia,NAM,No,2005,1,27%,26.9%,0.898235739,,2004.767710309,2005.107707393
Nauru,NRU,No,2005,1,0%,0.0%,0.451200956,,2005.093433609,2005.288132634
Nepal,NPL,No,2005,1,6%,5.9%,0.006793683,,2005.185502555,2005.243397242
Netherlands,NLD,No,2005,1,37%,36.7%,0.900970296,,2005.199463688,2005.131063925
New Zealand,NZL,No,2005,1,32%,32.2%,0.122997732,,2005.153528530,2005.120282442
Nicaragua,NIC,No,2005,1,21%,20.7%,0.941631137,,2005.105810853,2005.297193385
Niger,NER,No,2005,1,12%,12.4%,0.512831997,,2005.135363171,2005.292551887
Nigeria,NGA,No,2005,1,6%,6.4%,0.864298239,,2005.015393227,2005.177943255
North America,NAC,No,2005,1,18%,17.6%,0.174528596,,2005.092311312,2005.152224215
North Korea,PRK,No,2005,1,20%,20.1%,0.292532013,,2004.785005974,2005.276145031
North Macedonia,MKD,No,2005,1,19%,19.2%,0.466431550,,2005.110536896,2005.100829187
Norway,NOR,No,2005,1,38%,37.9%,0.587973350,,2005.079837482,2005.085265159
OECD members,OED,No,2005,1,21%,20.6%,0.928123374,,2004.984641545,2005.309207831
Other small states,OSS,No,2005,1,15%,14.7%,0.621829736,,2004.780984731,2005.213773301
Pakistan,PAK,No,2005,1,21%,21.3%,0.658687194,,2005.086662440,2005.322007063
Palau,PLW,No,2005,1,0%,0.0%,0.744930385,,2005.004564129,2005.078573767
Panama,PAN,No,2005,1,17%,16.7%,0.200499490,,2004.896243127,2005.315237415
Papua New Guinea,PNG,No,2005,1,1%,0.9%,0.694466541,,2005.080510905,2005.168519691
Paraguay,PRY,No,2005,1,10%,10.0%,0.862533683,,2005.203376700,2005.140600838
Peru,PER,No,2005,1,18%,18.3%,0.724857557,,2005.146817008,2005.142388718
Philippines,PHL,No,2005,1,15%,15.3%,0.649209504,,2004.897801412,2005.140357355
Poland,POL,No,2005,1,20%,20.4%,0.986630451,,2005.199275011,2005.115385077
Portugal,PRT,No,2005,1,21%,21.3%,0.320053090,,2004.940260597,2005.140716397
Post-demographic dividend,PST,No,2005,1,22%,22.0%,0.712164428,,2005.214844403,2005.046532395
Pre-demographic dividend,PRE,No,2005,1,15%,15.3%,0.350537665,,2004.933456031,2005.149507291
Romania,ROU,No,2005,1,11%,11.2%,0.330573421,,2005.298571855,2005.002365441
Russian Federation,RUS,No,2005,1,10%,9.8%,0.479372910,,2005.191026535,2005.244082538
Rwanda,RWA,Yes,2005,1,49%,48.8%,0.574123713,,2005.143599519,2005.121567713
Samoa,WSM,No,2005,1,6%,6.1%,0.010105966,,2005.270322840,2005.057759919
San Marino,SMR,No,2005,1,17%,16.7%,0.419227568,,2005.146886953,2005.301137664
