Author	n (strains)	publication title	journal	publication URL	strains
Victor M Corman et al B	29	unknown	unknown	unknown	hCoV-19/CzechRepublic/ChVir1630/2020,hCoV-19/Germany/SH-ChVir20806/2020,hCoV-19/Belarus/ChVir21848/2020,hCoV-19/Belarus/ChVir21846/2020,hCoV-19/Belarus/ChVir21863/2020,hCoV-19/Montenegro/ChVir-1268662002/2020,hCoV-19/Belarus/ChVir21832/2020,hCoV-19/Kosovo/ChVir25780_2/2021,hCoV-19/Kosovo/ChVir25780_10/2021,hCoV-19/Moldova/un-ChVir25840/2021,hCoV-19/Kosovo/ChVir25780_17/2021,hCoV-19/Kosovo/ChVir25780_7/2021,hCoV-19/Moldova/un-ChVir25732/2021,hCoV-19/Moldova/un-ChVir25728/2021,hCoV-19/Kosovo/ChVir25780_27/2021,hCoV-19/Kosovo/ChVir25780_19/2021,hCoV-19/Albania/un-ChVir25862_03/2021,hCoV-19/Kosovo/ChVir25780_24/2021,hCoV-19/Albania/un-ChVir25862_04/2021,hCoV-19/Kosovo/un-ChVir25887_09/2021,hCoV-19/Kosovo/un-ChVir25887_26/2021,hCoV-19/Kosovo/un-ChVir25887_23/2021,hCoV-19/Albania/un-ChVir25862_11/2021,hCoV-19/Kosovo/un-ChVir25887_29/2021,hCoV-19/Albania/un-ChVir25862_18/2021,hCoV-19/Moldova/un-ChVir25850/2021,hCoV-19/Moldova/un-ChVir25847/2021,hCoV-19/Albania/un-ChVir25862_07/2021,hCoV-19/Moldova/un-ChVir25848/2021
Dr. Milza Abdul Muhsin et al	11	unknown	unknown	unknown	hCoV-19/Maldives/MAV04600/2020,hCoV-19/Maldives/MAV00499/2020,hCoV-19/Maldives/MAV00052/2020,hCoV-19/Maldives/MAV16870/2021,hCoV-19/Maldives/MAV16055/2021,hCoV-19/Maldives/MAV16830/2021,hCoV-19/Maldives/MAV22332/2021,hCoV-19/Maldives/MAV17718/2021,hCoV-19/Maldives/MAV28931/2021,hCoV-19/Maldives/MAV29502/2021,hCoV-19/Maldives/MAV27512/2021
Pablo Tsukayama et al	6	unknown	unknown	unknown	hCoV-19/Peru/LIM-UPCH-0084/2020,hCoV-19/Peru/LIM-UPCH-0752/2021,hCoV-19/Peru/PUN-UPCH-0756/2021,hCoV-19/Peru/LIM-UPCH-0308/2020,hCoV-19/Peru/AMA-UPCH-0265/2020,hCoV-19/Peru/CUS-UPCH-0825/2021
Belén Prado-Vivar et al	6	unknown	unknown	unknown	hCoV-19/Ecuador/USFQ-533/2020,hCoV-19/Ecuador/USFQ-1350/2021,hCoV-19/Ecuador/USFQ-1935/2021,hCoV-19/Ecuador/USFQ-732/2021,hCoV-19/Ecuador/USFQ-1030-UTPL004/2021,hCoV-19/Ecuador/USFQ-105/2020
Janis Pjalkovskis et al	3	unknown	unknown	unknown	hCoV-19/Latvia/1358/2020,hCoV-19/Latvia/932/2020,hCoV-19/Latvia/2350/2021
Hannelore Hamerlinck et al	1	unknown	unknown	unknown	hCoV-19/Belgium/UGent-1054/2021
Kathrine Stene-Johansen et al	14	unknown	unknown	unknown	hCoV-19/Norway/1281/2021,hCoV-19/Norway/3797/2021,hCoV-19/Norway/13667/2021,hCoV-19/Norway/14078/2021,hCoV-19/Norway/6159/2021,hCoV-19/Norway/09377/2021,hCoV-19/Norway/12177-2/2021,hCoV-19/Norway/12740/2021,hCoV-19/Norway/15754/2021,hCoV-19/Norway/2966/2021,hCoV-19/Norway/10857/2021,hCoV-19/Norway/15314/2021,hCoV-19/Norway/15685/2021,hCoV-19/Norway/16445/2021
Samuel Cordey et al	4	unknown	unknown	unknown	hCoV-19/Switzerland/GE-32845214/2020,hCoV-19/Switzerland/GE-HUG-34055875/2021,hCoV-19/Switzerland/GE-HUG-34077862/2021,hCoV-19/Switzerland/GE-HUG-34635349/2021
"Giovanni Savarese et al	1	unknown	unknown	unknown	hCoV-19/Italy/CAM-AMES-3-76/2021
Elisa Martró et al	1	unknown	unknown	unknown	hCoV-19/Spain/CT-IBV-99009908/2020
Daniel F Gudbjartsson et al B	2	unknown	unknown	unknown	hCoV-19/Iceland/5089/2020,hCoV-19/Iceland/4187/2020
Laura Pérez-Lago et al	1	unknown	unknown	unknown	hCoV-19/Spain/MD-IBV-99007138/2020
Oluniyi P.E. et al A	5	unknown	unknown	unknown	hCoV-19/Cameroon/CV424/2020,hCoV-19/Cameroon/CV416/2020,hCoV-19/Nigeria/CV895/2021,hCoV-19/Nigeria/FC-CV529/2020,hCoV-19/Nigeria/LA-CV371/2020
Ramuth M et al	8	unknown	unknown	unknown	hCoV-19/Mauritius/P-016004/2020,hCoV-19/Mauritius/P-001880/2020,hCoV-19/Mauritius/P-023559/2020,hCoV-19/Mauritius/125759/2021,hCoV-19/Mauritius/104633/2021,hCoV-19/Mauritius/104632/2021,hCoV-19/Mauritius/154798/2021,hCoV-19/Mauritius/P004441/2020
Danish Covid-19 Genome Consortium et al	19	unknown	unknown	unknown	hCoV-19/Denmark/DCGC-65063/2020,hCoV-19/Denmark/DCGC-45563/2020,hCoV-19/Denmark/DCGC-11720/2020,hCoV-19/Denmark/DCGC-38868/2021,hCoV-19/Denmark/DCGC-91015/2021,hCoV-19/Denmark/DCGC-90682/2021,hCoV-19/Denmark/DCGC-93229/2021,hCoV-19/Denmark/DCGC-106296/2021,hCoV-19/Denmark/DCGC-91781/2021,hCoV-19/Denmark/DCGC-122614/2021,hCoV-19/Denmark/DCGC-102194/2021,hCoV-19/Denmark/DCGC-130374/2021,hCoV-19/Denmark/DCGC-156334/2021,hCoV-19/Denmark/DCGC-139123/2021,hCoV-19/Denmark/DCGC-121296/2021,hCoV-19/Denmark/DCGC-149840/2021,hCoV-19/Denmark/DCGC-122502/2021,hCoV-19/Denmark/DCGC-137288/2021,hCoV-19/Denmark/DCGC-152545/2021
Parisi A. et al	1	unknown	unknown	unknown	hCoV-19/Italy/APU-IZSPB_314PT/2020
Darío García de Viedma et al	1	unknown	unknown	unknown	hCoV-19/Spain/MD-IBV-99012364/2020
Borges et al	19	unknown	unknown	unknown	hCoV-19/Portugal/PT2813/2021,hCoV-19/Portugal/PT7175/2021,hCoV-19/Portugal/PT7176/2021,hCoV-19/Portugal/PT3840/2021,hCoV-19/Portugal/PT1721/2020,hCoV-19/Portugal/PT7701/2021,hCoV-19/Portugal/PT7705/2021,hCoV-19/Portugal/PT7177/2021,hCoV-19/Portugal/PT8170/2021,hCoV-19/Portugal/PT2086/2020,hCoV-19/Portugal/PT8996/2021,hCoV-19/Portugal/PT11866/2021,hCoV-19/Portugal/PT14438/2021,hCoV-19/Portugal/PT12072/2021,hCoV-19/Portugal/PT13960/2021,hCoV-19/Portugal/PT11715/2021,hCoV-19/Portugal/PT10575/2021,hCoV-19/Portugal/PT14075/2021,hCoV-19/Portugal/PT9496/2021
Pilailuk Okada et al	7	unknown	unknown	unknown	hCoV-19/Thailand/Chonburi-SQ-SM0001/2020,hCoV-19/Thailand/Singburi_97/2020,hCoV-19/Thailand/Phuket_SEQ5088/2021,hCoV-19/Thailand/Songkhla_SEQ8178/2021,hCoV-19/Thailand/Chonburi-SQ-RF0001/2020,hCoV-19/Thailand/ChiangMai_SEQ13982/2021,hCoV-19/Thailand/Phrae_SEQ14143/2021
Danish Covid-19 Genome Consortia et al	3	unknown	unknown	unknown	hCoV-19/Denmark/DCGC-4050/2020,hCoV-19/Denmark/DCGC-3125/2020,hCoV-19/Denmark/DCGC-3064/2020
Guerrino Macori et al	1	unknown	unknown	unknown	hCoV-19/Ireland/KY-NVRL-21IRL35806/2020
Gytis Dudas et al	2	unknown	unknown	unknown	hCoV-19/Lithuania/ID1731/2020,hCoV-19/Latvia/ID3126/2020
Grayo Solene et al	5	unknown	unknown	unknown	hCoV-19/Guinea/Conakry_IPG9778/2020,hCoV-19/Guinea/Conakry_IPG13766/2020,hCoV-19/Guinea/Conakry_IPG13552/2020,hCoV-19/Guinea/Conakry_IPG6502/2020,hCoV-19/Guinea/Conakry_IPG642/2020
Sikhulile Wonderful T. Choga et al	2	unknown	unknown	unknown	hCoV-19/Botswana/R8B21_BHP_AAB0941/2021,hCoV-19/Botswana/R8B15_BHP_AAB0164/2020
Abdul Karim sesay et al	20	unknown	unknown	unknown	hCoV-19/Gambia/S-3087K/2020,hCoV-19/Gambia/23736/2020,hCoV-19/Gambia/33057/2021,hCoV-19/Gambia/33059/2021,hCoV-19/Gambia/32975/2021,hCoV-19/Gambia/37853/2021,hCoV-19/Gambia/48841/2021,hCoV-19/Gambia/37145/2021,hCoV-19/Gambia/38712/2021,hCoV-19/Gambia/49496/2021,hCoV-19/Gambia/40994/2021,hCoV-19/Gambia/46010/2021,hCoV-19/Gambia/41399/2021,hCoV-19/Gambia/36747/2021,hCoV-19/Gambia/36175/2021,hCoV-19/Gambia/47483/2021,hCoV-19/Gambia/46581/2021,hCoV-19/Gambia/46728/2021,hCoV-19/Gambia/48622/2021,hCoV-19/Gambia/47753/2021
Fries et al	1	unknown	unknown	unknown	hCoV-19/Cuba/USAFSAM-S030/2020
Goletic T. et al	1	unknown	unknown	unknown	hCoV-19/BosniaandHerzegovina/VFS-UNSA-LMGFI023/2021
Echeverría C et al	1	unknown	unknown	unknown	hCoV-19/Chile/AT-CMM-ATAC07/2020
Andrés E Castillo et al	1	unknown	unknown	unknown	hCoV-19/Chile/RM-ISPCH-29/2020
Endre Gábor Tóth et al	5	unknown	unknown	unknown	hCoV-19/Hungary/MH-9653/2020,hCoV-19/Hungary/MH-8268/2020,hCoV-19/Hungary/HM-0119-48/2021,hCoV-19/Hungary/US-2953w/2020,hCoV-19/Hungary/HM-0111-1/2021
Katherine Laiton-Donato et al A	29	unknown	unknown	unknown	hCoV-19/Colombia/DC-INS-3334/2020,hCoV-19/Colombia/VAU-INS-VG-2855/2021,hCoV-19/Colombia/DC-INS-3569/2020,hCoV-19/Colombia/ANT-INS-103237/2020,hCoV-19/Colombia/ANT-INS-CORME-04-00/2020,hCoV-19/Colombia/SAN-INS-VG-3948/2021,hCoV-19/Colombia/SAP-INS-SPSAN01/2020,hCoV-19/Colombia/COR-INS-VG-1389/2021,hCoV-19/Colombia/HUI-INS-VG-4802/2021,hCoV-19/Colombia/DC-INSV-H-6758/2021,hCoV-19/Colombia/LAG-INS-VG-3799/2021,hCoV-19/Colombia/MAG-INS-VG-3615/2021,hCoV-19/Colombia/BOY-INS-VG-3931/2021,hCoV-19/Colombia/DC-VACINSCOV-3-0340/2021,hCoV-19/Colombia/ATL-INS-VG-4908/2021,hCoV-19/Colombia/CHO-INS-VG-3183/2021,hCoV-19/Colombia/VAC-INS-VG-4601/2021,hCoV-19/Colombia/SAN-INS-VG-2725/2021,hCoV-19/Colombia/VAC-COV-VG-4126/2021,hCoV-19/Colombia/VAC-COV-VG-4116/2021,hCoV-19/Colombia/CUN-COV-VG-3880/2021,hCoV-19/Colombia/QUI-INS-VG-4781/2021,hCoV-19/Colombia/SAN-INS-VG-2949/2021,hCoV-19/Colombia/BOY-INS-VG-4012/2021,hCoV-19/Colombia/CAQ-INS-VG-4834/2021,hCoV-19/Colombia/CAL-INS-VG-2795/2021,hCoV-19/Colombia/PUT-INS-VG-768/2020,hCoV-19/Colombia/DC-INS-VG-457/2021,hCoV-19/Colombia/HUI-INS-VG-4805/2021
Souleymane Mboup et al	1	unknown	unknown	unknown	hCoV-19/Senegal/SN-THI-20-1450/2020
Nagy et al	4	unknown	unknown	unknown	hCoV-19/CzechRepublic/NRL_8972-5/2020,hCoV-19/CzechRepublic/NRL-8609/2020,hCoV-19/CzechRepublic/NRL_4253/2020,hCoV-19/CzechRepublic/NRL_9056/2021
Alexiev et al	15	unknown	unknown	unknown	hCoV-19/Bulgaria/21BG-NC_A000036/2020,hCoV-19/Bulgaria/21BG-NC_A000037/2020,hCoV-19/Bulgaria/21BG-NC_A000041/2020,hCoV-19/Bulgaria/21BG-NC_003457_R13/2021,hCoV-19/Bulgaria/21BG-EU_002927_Pl26/2021,hCoV-19/Bulgaria/21BG-EU_002906_Pl26/2021,hCoV-19/Bulgaria/21BG-NC_003500_R13/2021,hCoV-19/Bulgaria/21BG-NC_003468_R13/2021,hCoV-19/Bulgaria/21BG-EU_002928_Pl26/2021,hCoV-19/Bulgaria/21BG-EU_003382_Pl30/2021,hCoV-19/Bulgaria/21BG-EU_003799_Pl32/2021,hCoV-19/Bulgaria/21BG-EU_003865_Pl33/2021,hCoV-19/Bulgaria/21BG-EU_003351_Pl30/2021,hCoV-19/Bulgaria/21BG-NC_003915_R15/2021,hCoV-19/Bulgaria/21BG-EU_003668_Pl31/2021
Michael Carr et al	2	unknown	unknown	unknown	hCoV-19/Ireland/OY-NVRL-72IRL00288/2020,hCoV-19/Ireland/WD-NVRL-71IRL06455/2020
Knezevic et al	8	unknown	unknown	unknown	hCoV-19/Serbia/Belgrade-3021450402/2021,hCoV-19/Serbia/Belgrade-2973390801/2021,hCoV-19/Serbia/Belgrade-3301590905/2021,hCoV-19/Serbia/Belgrade-3280650405/2021,hCoV-19/Serbia/Belgrade-3302920905/2021,hCoV-19/Serbia/Cacak-3444740207/2021,hCoV-19/Serbia/Cacak-3401431106/2021,hCoV-19/Serbia/Belgrade-C329421811/2020
Goletic S. et al	1	unknown	unknown	unknown	hCoV-19/BosniaandHerzegovina/VFS-UNSA-LMGFI032/2021
Tim Roloff et al	6	unknown	unknown	unknown	hCoV-19/Liechtenstein/UHB-4171945101/2020,hCoV-19/Liechtenstein/UHB-4168696501/2020,hCoV-19/Switzerland/BS-UHB-42982891/2021,hCoV-19/Liechtenstein/UHB-761057800/2021,hCoV-19/Liechtenstein/UHB-4181115401/2021,hCoV-19/Liechtenstein/UHB-4209185301/2021
Christian Beisel et al	4	unknown	unknown	unknown	hCoV-19/Switzerland/BE-ETHZ-300405/2020,hCoV-19/Switzerland/BL-ETHZ-590079/2021,hCoV-19/Switzerland/BL-ETHZ-600110/2021,hCoV-19/Switzerland/AG-ETHZ-33542813/2021
Alen Suljič et al	10	unknown	unknown	unknown	hCoV-19/Slovenia/179690/2020,hCoV-19/Slovenia/228533/2020,hCoV-19/Slovenia/2149/2020,hCoV-19/Slovenia/267519/2021,hCoV-19/Slovenia/256013/2021,hCoV-19/Slovenia/269673/2021,hCoV-19/Slovenia/286317/2021,hCoV-19/Slovenia/73616/2020,hCoV-19/Slovenia/315925/2021,hCoV-19/Slovenia/315501/2021
Sandra Janezic et al	7	unknown	unknown	unknown	hCoV-19/Slovenia/08-086078-MB/2021,hCoV-19/Slovenia/08-104246-MB/2021,hCoV-19/Slovenia/08-148303-MB/2021,hCoV-19/Slovenia/90-030389-NM/2021,hCoV-19/Slovenia/08-148290-MB/2021,hCoV-19/Slovenia/08-148299-MB/2021,hCoV-19/Slovenia/17-042676-KR/2021
Tom Koritnik et al	4	unknown	unknown	unknown	hCoV-19/Slovenia/21-12965/2020,hCoV-19/Slovenia/22-6167/2021,hCoV-19/Slovenia/21-10082/2021,hCoV-19/Slovenia/22-6223/2021
Kuzmanovska Maja et al	1	unknown	unknown	unknown	hCoV-19/NorthMacedonia/8830/2021
Tony Wawina-Bokalanga et al	8	unknown	unknown	unknown	hCoV-19/Belgium/rega-1581/2020,hCoV-19/Belgium/rega-8421/2021,hCoV-19/Belgium/rega-0623853/2020,hCoV-19/Belgium/rega-8548/2021,hCoV-19/Belgium/rega-9642/2021,hCoV-19/Belgium/rega-10583/2021,hCoV-19/Belgium/rega-9430/2021,hCoV-19/Belgium/rega-10965/2021
Georgi Merhi et al	7	unknown	unknown	unknown	hCoV-19/Lebanon/QIB-13/2020,hCoV-19/Lebanon/QIB-6/2020,hCoV-19/Lebanon/QIB-897/2021,hCoV-19/Lebanon/QIB-225/2021,hCoV-19/Lebanon/QIB-872/2021,hCoV-19/Lebanon/QIB-858/2021,hCoV-19/Lebanon/QIB-895/2021
Lukasz Rabalski et al	4	unknown	unknown	unknown	hCoV-19/Poland/Pomorskie_MWB_119/2021,hCoV-19/Poland/Pomorskie_MWB_60/2020,hCoV-19/Poland/Pom3/2020,hCoV-19/mink/Poland/Pomorskie_42/2020
Aleksandar J. Dimovski et al	3	unknown	unknown	unknown	hCoV-19/NorthMacedonia/38460/2021,hCoV-19/NorthMacedonia/38620/2021,hCoV-19/NorthMacedonia/38656/2021
Jan Richter et al	4	unknown	unknown	unknown	hCoV-19/Cyprus/Cy166477/2021,hCoV-19/Cyprus/Cy144057/2020,hCoV-19/Cyprus/Cy049004/2020,hCoV-19/Cyprus/002/2020
SEARCH Alliance San Diego with Samuel Navarro Alvarez et al	1	unknown	unknown	unknown	hCoV-19/Mexico/BCN-ALSR-1712/2020
Kame A. Galán-Huerta et al	3	unknown	unknown	unknown	hCoV-19/Mexico/NLE-UANL-020/2020,hCoV-19/Mexico/NLE-UANL-029/2021,hCoV-19/Mexico/NLE-UANL-068/2020
Pavitra Roychoudhury et al	6	unknown	unknown	unknown	hCoV-19/USA/WA-UW-12388/2020,hCoV-19/USA/GA-UW-5500696/2020,hCoV-19/Armenia/UW-ARM9/2020,hCoV-19/USA/WA-CDC-UW21042633992/2021,hCoV-19/Armenia/UW-ARM37/2020,hCoV-19/USA/WA-CDC-UW21080257426/2021
Sai Narayanan et al	1	unknown	unknown	unknown	hCoV-19/USA/OK-ADDL-01/2020
Jolene Bowers et al	2	unknown	unknown	unknown	hCoV-19/USA/AZ-TG668330/2020,hCoV-19/USA/AZ-TG874474/2021
Pamela O'Brien et al	4	unknown	unknown	unknown	hCoV-19/USA/HI-H200538/2020,hCoV-19/USA/HI-H212597/2021,hCoV-19/USA/HI-H212195/2021,hCoV-19/USA/HI-H213259/2021
Kirsten St. George et al	2	unknown	unknown	unknown	hCoV-19/USA/NY-Wadsworth-233280-01/2020,hCoV-19/USA/NY-Wadsworth-21078955-01/2021
Dakota Howard et al	108	unknown	unknown	unknown	hCoV-19/USA/WV-CDC-ASC210047826/2021,hCoV-19/USA/GA-CDC-ASC210060007/2021,hCoV-19/USA/CA-CDC-FG-027672/2021,hCoV-19/USA/MA-CDC-STM-000073208/2021,hCoV-19/USA/RI-CDC-LC0057141/2021,hCoV-19/USA/DE-CDC-IBX676658223696/2021,hCoV-19/USA/NJ-CDC-IBX388584744808/2021,hCoV-19/USA/AR-CDC-FG-012988/2021,hCoV-19/USA/MI-CDC-ASC210036023/2021,hCoV-19/USA/TN-CDC-ASC210022620/2021,hCoV-19/USA/PA-CDC-LC0102266/2021,hCoV-19/USA/IL-CDC-ASC210065561/2021,hCoV-19/USA/NY-CDC-LC0068906/2021,hCoV-19/USA/CO-CDC-MMB08925231/2021,hCoV-19/USA/CA-CDC-QDX25952409/2021,hCoV-19/USA/NH-CDC-QDX24365689/2021,hCoV-19/USA/HI-CDC-QDX25952525/2021,hCoV-19/USA/GA-CDC-LC0052172/2021,hCoV-19/USA/LA-CDC-LC0029021/2021,hCoV-19/USA/NJ-CDC-ASC210034174/2021,hCoV-19/USA/NH-CDC-QDX25848334/2021,hCoV-19/USA/FL-CDC-LC0062331/2021,hCoV-19/USA/NC-CDC-STM-000068695/2021,hCoV-19/USA/OK-CDC-LC0056251/2021,hCoV-19/USA/TX-CDC-ASC210105811/2021,hCoV-19/USA/UT-CDC-QDX25392321/2021,hCoV-19/USA/MN-CDC-QDX24281426/2021,hCoV-19/USA/PA-CDC-QDX24476503/2021,hCoV-19/USA/MI-CDC-STM-000070032/2021,hCoV-19/USA/OH-CDC-LC0027084/2021,hCoV-19/USA/OH-CDC-LC0091329/2021,hCoV-19/USA/CA-CDC-LC0097772/2021,hCoV-19/USA/CA-CDC-FG-030298/2021,hCoV-19/USA/OH-CDC-LC0054117/2021,hCoV-19/USA/WV-CDC-LC0105773/2021,hCoV-19/USA/NM-CDC-ASC210062548/2021,hCoV-19/USA/IA-CDC-ASC210033670/2021,hCoV-19/USA/CT-CDC-QDX24632636/2021,hCoV-19/USA/WV-CDC-IBX031630518636/2021,hCoV-19/USA/TN-CDC-IBX217870552012/2021,hCoV-19/USA/LA-CDC-ASC210033653/2021,hCoV-19/USA/LA-CDC-QDX24799417/2021,hCoV-19/USA/TX-CDC-FG-029493/2021,hCoV-19/USA/NV-CDC-LC0059529/2021,hCoV-19/USA/NM-CDC-LC0053246/2021,hCoV-19/USA/VI-CDC-ASC210106235/2021,hCoV-19/USA/LA-CDC-MMB09073219/2021,hCoV-19/USA/TN-CDC-FG-028461/2021,hCoV-19/USA/MO-CDC-QDX26598413/2021,hCoV-19/USA/MI-CDC-QDX26765511/2021,hCoV-19/USA/MD-CDC-ASC210061549/2021,hCoV-19/USA/DC-CDC-LC0064075/2021,hCoV-19/USA/MN-CDC-IBX359268454119/2021,hCoV-19/USA/CO-CDC-MMB09077259/2021,hCoV-19/USA/IN-CDC-STM-000066585/2021,hCoV-19/USA/DE-CDC-ASC210019384/2021,hCoV-19/USA/VA-CDC-QDX24840146/2021,hCoV-19/USA/NC-CDC-ASC210037218/2021,hCoV-19/USA/GA-CDC-STM-000058006/2021,hCoV-19/USA/SC-CDC-QDX25952363/2021,hCoV-19/USA/FL-CDC-LC0069899/2021,hCoV-19/USA/FL-CDC-QDX24520473/2021,hCoV-19/USA/FL-CDC-LC0161414/2021,hCoV-19/USA/TN-CDC-ASC210115086/2021,hCoV-19/USA/SC-CDC-LC0140382/2021,hCoV-19/USA/AZ-CDC-LC0059280/2021,hCoV-19/USA/NV-CDC-LC0083714/2021,hCoV-19/USA/LA-CDC-LC0155379/2021,hCoV-19/USA/PA-CDC-MMB09552150/2021,hCoV-19/USA/DE-CDC-LC0157142/2021,hCoV-19/USA/OH-CDC-QDX27053297/2021,hCoV-19/USA/AL-CDC-FG-066431/2021,hCoV-19/USA/SD-CDC-IBX078245611077/2021,hCoV-19/USA/NC-CDC-LC0094864/2021,hCoV-19/USA/VT-CDC-QDX26380777/2021,hCoV-19/USA/OK-CDC-LC0160232/2021,hCoV-19/USA/TX-CDC-QDX27052990/2021,hCoV-19/USA/FL-CDC-LC0101862/2021,hCoV-19/USA/NV-CDC-QDX27347903/2021,hCoV-19/USA/VA-CDC-LC0142116/2021,hCoV-19/USA/AZ-CDC-LC0079794/2021,hCoV-19/USA/AL-CDC-FG-054636/2021,hCoV-19/USA/CO-CDC-FG-058346/2021,hCoV-19/USA/NV-CDC-QDX26445887/2021,hCoV-19/USA/CA-CDC-FG-060764/2021,hCoV-19/USA/HI-CDC-IBX186426441079/2021,hCoV-19/USA/OK-CDC-LC0109670/2021,hCoV-19/USA/TN-CDC-FG-079782/2021,hCoV-19/USA/WV-CDC-IBX381907901113/2021,hCoV-19/USA/KY-CDC-LC0162898/2021,hCoV-19/USA/GA-CDC-LC0156553/2021,hCoV-19/USA/VA-CDC-LC0160590/2021,hCoV-19/USA/PR-CDC-ASC210156502/2021,hCoV-19/USA/NJ-CDC-ASC210113944/2021,hCoV-19/USA/NC-CDC-LC0170239/2021,hCoV-19/USA/TN-CDC-ASC210153921/2021,hCoV-19/USA/OK-CDC-LC0089894/2021,hCoV-19/USA/MO-CDC-QDX26400621/2021,hCoV-19/USA/IA-CDC-IBX390452624696/2021,hCoV-19/USA/DC-CDC-LC0148232/2021,hCoV-19/USA/MN-CDC-IBX807890436160/2021,hCoV-19/USA/MD-CDC-LC0157865/2021,hCoV-19/USA/TX-CDC-FG-062262/2021,hCoV-19/USA/CO-CDC-MMB09451196/2021,hCoV-19/USA/NY-CDC-FG-073025/2021,hCoV-19/USA/TX-CDC-QDX26343330/2021,hCoV-19/USA/WI-CDC-FG-058406/2021,hCoV-19/USA/SC-CDC-LC0158928/2021
Andrew Gorzalski et al	2	unknown	unknown	unknown	hCoV-19/USA/NV-NSPHL-NV2025909/2020,hCoV-19/USA/NV-NSPHL-341690/2021
Jim Mildenberger et al	6	unknown	unknown	unknown	hCoV-19/USA/WY-WPHL-20159758/2020,hCoV-19/USA/WY-WYPHL-21042641/2021,hCoV-19/USA/WY-WYPHL-21031191/2021,hCoV-19/USA/WY-WYPHL-21038252/2021,hCoV-19/USA/WY-WYPHL-21057000/2021,hCoV-19/USA/WY-WYPHL-21047254/2021
Laura Bankers et al	3	unknown	unknown	unknown	hCoV-19/USA/CO-CDPHE-2100319802/2021,hCoV-19/USA/CO-CDPHE-2005060769/2020,hCoV-19/USA/CO-CDPHE-2100932812/2021
Peter W. Cook et al	4	unknown	unknown	unknown	hCoV-19/USA/KS-CDC-LC0008626/2021,hCoV-19/USA/WI-CDC-LC0011218/2021,hCoV-19/USA/MT-CDC-STM-000004258/2021,hCoV-19/USA/GA-CDC-LC0021059/2021
Ellie Johnson et al	5	unknown	unknown	unknown	hCoV-19/USA/NM-DOH-2020308427/2020,hCoV-19/USA/NM-NMDOH-2020327154/2020,hCoV-19/USA/NMDOH-2020174489/2020,hCoV-19/USA/NM-NMDOH-2021144088/2021,hCoV-19/USA/NM-NMDOH-2021137884/2021
Tapfumanei Mashe et al	5	unknown	unknown	unknown	hCoV-19/Zimbabwe/ZW-25117/2020,hCoV-19/Zimbabwe/ZW-45938/2021,hCoV-19/Zimbabwe/ZW-16371/2020,hCoV-19/Zimbabwe/ZW-16433/2020,hCoV-19/Zimbabwe/ZW-34550/2020
Eduardo Arathoon et al	4	unknown	unknown	unknown	hCoV-19/Guatemala/ASI02026/2021,hCoV-19/Guatemala/ASI01026/2020,hCoV-19/Guatemala/ASI01012/2020,hCoV-19/Guatemala/ASI02054/2021
The Lighthouse Lab in Alderley Park et al	1	unknown	unknown	unknown	hCoV-19/England/ALDP-951E3A/2020
Mark Akeson et al	1	unknown	unknown	unknown	hCoV-19/USA/CA-UCSC-31/2020
CIDM-PH et al.	24	unknown	unknown	unknown	hCoV-19/Australia/NSW1451/2020,hCoV-19/Australia/NSW518/2020,hCoV-19/Australia/NSW1426/2021,hCoV-19/Australia/NSW1318/2020,hCoV-19/Australia/NSW612/2020,hCoV-19/Australia/NSW1561/2021,hCoV-19/Australia/NSW1585/2021,hCoV-19/Australia/NSW1563/2021,hCoV-19/Australia/NSW595/2020,hCoV-19/Australia/NSW770/2020,hCoV-19/Australia/NSW971/2020,hCoV-19/Australia/NSW691/2020,hCoV-19/Australia/NSW1541/2021,hCoV-19/Australia/NSW1614/2021,hCoV-19/Australia/NSW-ICPMR-431/2021,hCoV-19/Australia/NSW1723/2021,hCoV-19/Australia/NSW-1812/2021,hCoV-19/Australia/NSW1787/2021,hCoV-19/Australia/NSW1754/2021,hCoV-19/Australia/NSW-ICPMR-633/2021,hCoV-19/Australia/NSW-1815/2021,hCoV-19/Australia/NSW1697/2021,hCoV-19/Australia/NSW-1818/2021,hCoV-19/Australia/NSW1548/2021
CZB Cliahub Consortium et al	1	unknown	unknown	unknown	hCoV-19/USA/CA-CZB-13301/2020
Krasnov et al	1	unknown	unknown	unknown	hCoV-19/Russia/MOS-RARI-879/2020
Authors from IBT et al	6	unknown	unknown	unknown	hCoV-19/Mexico/SIN-IBT-IMSS-431/2020,hCoV-19/Mexico/YUC-InDRE-IBT-135/2020,hCoV-19/Mexico/GUA-IBT-IMSS-498/2020,hCoV-19/Mexico/TLA-IBT-IMSS-448/2020,hCoV-19/Mexico/PUE-IBT-IMSS-47245/NC/2021,hCoV-19/Mexico/SIN-InDRE-IBT-23/2020
"Carlos Cortes et al	1	unknown	unknown	unknown	hCoV-19/EquatorialGuinea/7287/2020
Markus Antwerpen et al	2	unknown	unknown	unknown	hCoV-19/Afghanistan/IMB07956/2020,hCoV-19/Afghanistan/IMB07964/2020
